species,series,subplot,scale,response,value,naturalisation_level,introduction_time,category
Galium octonarium,UA20,x,100,cover,0.1,NA,NA,native
Galium verum,UA01,NW,1,p/a,1,NA,NA,native
Galium verum,UA01,NW,10,cover,9,NA,NA,native
Galium verum,UA01,SE,0.01,p/a,1,NA,NA,native
Galium verum,UA01,SE,0.1,p/a,1,NA,NA,native
Galium verum,UA01,SE,1,p/a,1,NA,NA,native
Galium verum,UA01,SE,10,cover,25,NA,NA,native
Galium verum,UA01,x,100,cover,17,NA,NA,native
Galium verum,UA02,NW,0.1,p/a,1,NA,NA,native
Galium verum,UA02,NW,1,p/a,1,NA,NA,native
Galium verum,UA02,NW,10,cover,3,NA,NA,native
Galium verum,UA02,SE,0.01,p/a,1,NA,NA,native
Galium verum,UA02,SE,0.1,p/a,1,NA,NA,native
Galium verum,UA02,SE,1,p/a,1,NA,NA,native
Galium verum,UA02,SE,10,cover,5,NA,NA,native
Galium verum,UA02,x,100,cover,4,NA,NA,native
Galium verum,UA03,NW,0.01,p/a,1,NA,NA,native
Galium verum,UA03,NW,0.1,p/a,1,NA,NA,native
Galium verum,UA03,NW,1,p/a,1,NA,NA,native
Galium verum,UA03,NW,10,cover,4,NA,NA,native
Galium verum,UA03,SE,1e-4,p/a,1,NA,NA,native
Galium verum,UA03,SE,0.001,p/a,1,NA,NA,native
Galium verum,UA03,SE,0.01,p/a,1,NA,NA,native
Galium verum,UA03,SE,0.1,p/a,1,NA,NA,native
Galium verum,UA03,SE,1,p/a,1,NA,NA,native
Galium verum,UA03,SE,10,cover,6,NA,NA,native
Galium verum,UA03,x,100,cover,5,NA,NA,native
Galium verum,UA04,NW,1,p/a,1,NA,NA,native
Galium verum,UA04,NW,10,cover,0.1,NA,NA,native
Galium verum,UA04,SE,1,p/a,1,NA,NA,native
Galium verum,UA04,SE,10,cover,0.5,NA,NA,native
Galium verum,UA04,x,100,cover,0.3,NA,NA,native
Galium verum,UA05,NW,0.01,p/a,1,NA,NA,native
Galium verum,UA05,NW,0.1,p/a,1,NA,NA,native
Galium verum,UA05,NW,1,p/a,1,NA,NA,native
Galium verum,UA05,NW,10,cover,2,NA,NA,native
Galium verum,UA05,SE,0.1,p/a,1,NA,NA,native
Galium verum,UA05,SE,1,p/a,1,NA,NA,native
Galium verum,UA05,SE,10,cover,8,NA,NA,native
Galium verum,UA05,x,100,cover,5,NA,NA,native
Galium verum,UA06,NW,0.1,p/a,1,NA,NA,native
Galium verum,UA06,NW,1,p/a,1,NA,NA,native
Galium verum,UA06,NW,10,cover,15,NA,NA,native
Galium verum,UA06,SE,1e-4,p/a,1,NA,NA,native
Galium verum,UA06,SE,0.001,p/a,1,NA,NA,native
Galium verum,UA06,SE,0.01,p/a,1,NA,NA,native
Galium verum,UA06,SE,0.1,p/a,1,NA,NA,native
Galium verum,UA06,SE,1,p/a,1,NA,NA,native
Galium verum,UA06,SE,10,cover,12,NA,NA,native
Galium verum,UA06,x,100,cover,13.5,NA,NA,native
Galium verum,UA07,SE,10,cover,0.1,NA,NA,native
Galium verum,UA07,x,100,cover,0.05,NA,NA,native
Galium verum,UA10,SE,1,p/a,1,NA,NA,native
Galium verum,UA10,SE,10,cover,0.1,NA,NA,native
Galium verum,UA10,x,100,cover,0.05,NA,NA,native
Galium verum,UA15,NW,0.1,p/a,1,NA,NA,native
Galium verum,UA15,NW,1,p/a,1,NA,NA,native
Galium verum,UA15,NW,10,cover,0.5,NA,NA,native
Galium verum,UA15,SE,10,cover,0.2,NA,NA,native
Galium verum,UA15,x,100,cover,0.35,NA,NA,native
Galium verum,UA16,x,100,cover,0.1,NA,NA,native
Galium verum,UA17,x,100,cover,0.1,NA,NA,native
Galium verum,UA20,NW,1,p/a,1,NA,NA,native
Galium verum,UA20,NW,10,cover,0.2,NA,NA,native
Galium verum,UA20,x,100,cover,0.1,NA,NA,native
Galium verum,UA21,NW,1,p/a,1,NA,NA,native
Galium verum,UA21,NW,10,cover,5,NA,NA,native
Galium verum,UA21,SE,0.1,p/a,1,NA,NA,native
Galium verum,UA21,SE,1,p/a,1,NA,NA,native
Galium verum,UA21,SE,10,cover,0.6,NA,NA,native
Galium verum,UA21,x,100,cover,2.8,NA,NA,native
Geranium pusillum,UA04,SE,0.001,p/a,1,naturalised,archaeophyte,non_native
Geranium pusillum,UA04,SE,0.01,p/a,1,naturalised,archaeophyte,non_native
Geranium pusillum,UA04,SE,0.1,p/a,1,naturalised,archaeophyte,non_native
Geranium pusillum,UA04,SE,1,p/a,1,naturalised,archaeophyte,non_native
Geranium pusillum,UA04,SE,10,cover,0.5,naturalised,archaeophyte,non_native
Geranium pusillum,UA04,x,100,cover,0.25,naturalised,archaeophyte,non_native
Helichrysum arenarium,UA07,x,100,cover,0.1,NA,NA,native
Helichrysum arenarium,UA15,NW,10,cover,1,NA,NA,native
Helichrysum arenarium,UA15,x,100,cover,0.5,NA,NA,native
Helichrysum arenarium,UA17,NW,10,cover,0.5,NA,NA,native
Helichrysum arenarium,UA17,SE,1,p/a,1,NA,NA,native
Helichrysum arenarium,UA17,SE,10,cover,0.2,NA,NA,native
Helichrysum arenarium,UA17,x,100,cover,0.35,NA,NA,native
Helichrysum arenarium,UA20,NW,0.01,p/a,1,NA,NA,native
Helichrysum arenarium,UA20,NW,0.1,p/a,1,NA,NA,native
Helichrysum arenarium,UA20,NW,1,p/a,1,NA,NA,native
Helichrysum arenarium,UA20,NW,10,cover,1,NA,NA,native
Helichrysum arenarium,UA20,SE,0.01,p/a,1,NA,NA,native
Helichrysum arenarium,UA20,SE,0.1,p/a,1,NA,NA,native
Helichrysum arenarium,UA20,SE,1,p/a,1,NA,NA,native
Helichrysum arenarium,UA20,SE,10,cover,1,NA,NA,native
Helichrysum arenarium,UA20,x,100,cover,1,NA,NA,native
Helichrysum arenarium,UA21,NW,0.01,p/a,1,NA,NA,native
Helichrysum arenarium,UA21,NW,0.1,p/a,1,NA,NA,native
Helichrysum arenarium,UA21,NW,1,p/a,1,NA,NA,native
Helichrysum arenarium,UA21,NW,10,cover,6,NA,NA,native
Helichrysum arenarium,UA21,x,100,cover,3,NA,NA,native
Hieracium sabaudum,UA17,x,100,cover,0.1,NA,NA,native
Hieracium umbellatum,UA02,x,100,cover,0.1,NA,NA,native
Hieracium umbellatum,UA05,NW,10,cover,0.2,NA,NA,native
Hieracium umbellatum,UA05,x,100,cover,0.1,NA,NA,native
Hieracium umbellatum,UA06,NW,0.1,p/a,1,NA,NA,native
Hieracium umbellatum,UA06,NW,1,p/a,1,NA,NA,native
Hieracium umbellatum,UA06,NW,10,cover,0.2,NA,NA,native
Hieracium umbellatum,UA06,x,100,cover,0.1,NA,NA,native
Hieracium virosum,UA12,NW,1,p/a,1,NA,NA,native
Hieracium virosum,UA12,NW,10,cover,1,NA,NA,native
Hieracium virosum,UA12,x,100,cover,0.5,NA,NA,native
Hieracium virosum,UA13,NW,1,p/a,1,NA,NA,native
Hieracium virosum,UA13,NW,10,cover,0.1,NA,NA,native
Hieracium virosum,UA13,SE,1,p/a,1,NA,NA,native
Hieracium virosum,UA13,SE,10,cover,0.5,NA,NA,native
Hieracium virosum,UA13,x,100,cover,0.3,NA,NA,native
Hieracium virosum,UA17,SE,10,cover,0.01,NA,NA,native
Hieracium virosum,UA17,x,100,cover,0.005,NA,NA,native
Hieracium virosum,UA19,NW,1,p/a,1,NA,NA,native
Hieracium virosum,UA19,NW,10,cover,1,NA,NA,native
Hieracium virosum,UA19,x,100,cover,0.5,NA,NA,native
Hieracium virosum,UA20,x,100,cover,0.1,NA,NA,native
Sedum maximum,UA02,SE,1,p/a,1,NA,NA,native
Sedum maximum,UA02,SE,10,cover,0.1,NA,NA,native
Sedum maximum,UA02,x,100,cover,0.05,NA,NA,native
Sedum maximum,UA03,NW,10,cover,0.1,NA,NA,native
Sedum maximum,UA03,x,100,cover,0.05,NA,NA,native
Sedum maximum,UA04,NW,1,p/a,1,NA,NA,native
Sedum maximum,UA04,NW,10,cover,0.1,NA,NA,native
Sedum maximum,UA04,SE,10,cover,1.5,NA,NA,native
Sedum maximum,UA04,x,100,cover,0.8,NA,NA,native
Hypericum elegans,UA08,SE,10,cover,0.1,NA,NA,native
Hypericum elegans,UA08,x,100,cover,0.05,NA,NA,native
Hypericum elegans,UA09,NW,10,cover,0.1,NA,NA,native
Hypericum elegans,UA09,x,100,cover,0.05,NA,NA,native
Hypericum elegans,UA10,SE,10,cover,0.2,NA,NA,native
Hypericum elegans,UA10,x,100,cover,0.1,NA,NA,native
Hypericum elegans,UA11,SE,1,p/a,1,NA,NA,native
Hypericum elegans,UA11,SE,10,cover,0.2,NA,NA,native
Hypericum elegans,UA11,x,100,cover,0.1,NA,NA,native
Hypericum elegans,UA12,SE,10,cover,0.1,NA,NA,native
Hypericum elegans,UA12,x,100,cover,0.05,NA,NA,native
Hypericum elegans,UA13,SE,10,cover,0.1,NA,NA,native
Hypericum elegans,UA13,x,100,cover,0.05,NA,NA,native
Hypericum elegans,UA15,NW,1,p/a,1,NA,NA,native
Hypericum elegans,UA15,NW,10,cover,0.1,NA,NA,native
Hypericum elegans,UA15,SE,10,cover,0.1,NA,NA,native
Hypericum elegans,UA15,x,100,cover,0.1,NA,NA,native
Hypericum elegans,UA17,x,100,cover,0.1,NA,NA,native
Hypericum perforatum,UA01,NW,10,cover,0.1,NA,NA,native
Hypericum perforatum,UA01,SE,0.1,p/a,1,NA,NA,native
Hypericum perforatum,UA01,SE,1,p/a,1,NA,NA,native
Hypericum perforatum,UA01,SE,10,cover,1,NA,NA,native
Hypericum perforatum,UA01,x,100,cover,0.55,NA,NA,native
Hypericum perforatum,UA02,NW,1,p/a,1,NA,NA,native
Hypericum perforatum,UA02,NW,10,cover,1,NA,NA,native
Hypericum perforatum,UA02,x,100,cover,0.5,NA,NA,native
Hypericum perforatum,UA03,NW,1,p/a,1,NA,NA,native
Hypericum perforatum,UA03,NW,10,cover,0.1,NA,NA,native
Hypericum perforatum,UA03,x,100,cover,0.05,NA,NA,native
Hypericum perforatum,UA04,NW,1,p/a,1,NA,NA,native
Hypericum perforatum,UA04,NW,10,cover,0.1,NA,NA,native
Hypericum perforatum,UA04,SE,0.1,p/a,1,NA,NA,native
Hypericum perforatum,UA04,SE,1,p/a,1,NA,NA,native
Hypericum perforatum,UA04,SE,10,cover,10,NA,NA,native
Hypericum perforatum,UA04,x,100,cover,5.05,NA,NA,native
Hypericum perforatum,UA05,SE,0.01,p/a,1,NA,NA,native
Hypericum perforatum,UA05,SE,0.1,p/a,1,NA,NA,native
Hypericum perforatum,UA05,SE,1,p/a,1,NA,NA,native
Hypericum perforatum,UA05,SE,10,cover,0.5,NA,NA,native
Hypericum perforatum,UA05,x,100,cover,0.25,NA,NA,native
Hypericum perforatum,UA06,SE,10,cover,0.1,NA,NA,native
Hypericum perforatum,UA06,x,100,cover,0.05,NA,NA,native
Hypericum perforatum,UA07,NW,10,cover,0.1,NA,NA,native
Hypericum perforatum,UA07,x,100,cover,0.05,NA,NA,native
Hypericum perforatum,UA14,x,100,cover,0.1,NA,NA,native
Hypericum perforatum,UA19,SE,10,cover,0.1,NA,NA,native
Hypericum perforatum,UA19,x,100,cover,0.05,NA,NA,native
Hypericum perforatum,UA21,NW,10,cover,0.1,NA,NA,native
Hypericum perforatum,UA21,x,100,cover,0.05,NA,NA,native
Inula britannica,UA01,SE,1,p/a,1,NA,NA,native
Inula britannica,UA01,SE,10,cover,0.1,NA,NA,native
Inula britannica,UA01,x,100,cover,0.05,NA,NA,native
Inula britannica,UA14,SE,1,p/a,1,NA,NA,native
Inula britannica,UA14,SE,10,cover,0.5,NA,NA,native
Inula britannica,UA14,x,100,cover,0.25,NA,NA,native
Inula britannica,UA16,x,100,cover,0.1,NA,NA,native
Inula ensifolia,UA17,SE,10,cover,0.2,NA,NA,native
Inula ensifolia,UA17,x,100,cover,0.1,NA,NA,native
Inula ensifolia,UA20,NW,10,cover,0.1,NA,NA,native
Inula ensifolia,UA20,x,100,cover,0.05,NA,NA,native
Inula hirta,UA08,SE,0.01,p/a,1,NA,NA,native
Inula hirta,UA08,SE,0.1,p/a,1,NA,NA,native
Inula hirta,UA08,SE,1,p/a,1,NA,NA,native
Inula hirta,UA08,SE,10,cover,0.5,NA,NA,native
Inula hirta,UA08,x,100,cover,0.25,NA,NA,native
Jacobaea erucifolia,UA15,NW,1,p/a,1,NA,NA,native
Jacobaea erucifolia,UA15,NW,10,cover,1,NA,NA,native
Jacobaea erucifolia,UA15,x,100,cover,0.5,NA,NA,native
Jacobaea erucifolia,UA16,x,100,cover,0.1,NA,NA,native
Jacobaea vulgaris,UA05,NW,1,p/a,1,NA,NA,native
Jacobaea vulgaris,UA05,NW,10,cover,0.1,NA,NA,native
Jacobaea vulgaris,UA05,SE,0.1,p/a,1,NA,NA,native
Jacobaea vulgaris,UA05,SE,1,p/a,1,NA,NA,native
Jacobaea vulgaris,UA05,SE,10,cover,2,NA,NA,native
Jacobaea vulgaris,UA05,x,100,cover,1.05,NA,NA,native
Jacobaea vulgaris,UA06,NW,1,p/a,1,NA,NA,native
Jacobaea vulgaris,UA06,NW,10,cover,0.5,NA,NA,native
Jacobaea vulgaris,UA06,SE,1,p/a,1,NA,NA,native
Jacobaea vulgaris,UA06,SE,10,cover,2,NA,NA,native
Jacobaea vulgaris,UA06,x,100,cover,1.25,NA,NA,native
Jacobaea vulgaris,UA07,SE,10,cover,0.1,NA,NA,native
Jacobaea vulgaris,UA07,x,100,cover,0.05,NA,NA,native
Jacobaea vulgaris,UA13,NW,10,cover,0.01,NA,NA,native
Jacobaea vulgaris,UA13,x,100,cover,0.005,NA,NA,native
Jacobaea vulgaris,UA14,NW,1,p/a,1,NA,NA,native
Jacobaea vulgaris,UA14,NW,10,cover,0.2,NA,NA,native
Jacobaea vulgaris,UA14,x,100,cover,0.1,NA,NA,native
Jacobaea vulgaris,UA16,SE,10,cover,0.1,NA,NA,native
Jacobaea vulgaris,UA16,x,100,cover,0.05,NA,NA,native
Jacobaea vulgaris,UA17,NW,10,cover,0.2,NA,NA,native
Jacobaea vulgaris,UA17,SE,10,cover,0.1,NA,NA,native
Jacobaea vulgaris,UA17,x,100,cover,0.15,NA,NA,native
Juglans regia,UA10,x,100,cover,0.1,casual,neophyte,non_native
Jurinea ledebourii,UA05,NW,1,p/a,1,NA,NA,native
Jurinea ledebourii,UA05,NW,10,cover,0.7,NA,NA,native
Jurinea ledebourii,UA05,SE,0.1,p/a,1,NA,NA,native
Jurinea ledebourii,UA05,SE,1,p/a,1,NA,NA,native
Jurinea ledebourii,UA05,SE,10,cover,1,NA,NA,native
Jurinea ledebourii,UA05,x,100,cover,0.85,NA,NA,native
Jurinea ledebourii,UA06,NW,0.01,p/a,1,NA,NA,native
Jurinea ledebourii,UA06,NW,0.1,p/a,1,NA,NA,native
Jurinea ledebourii,UA06,NW,1,p/a,1,NA,NA,native
Jurinea ledebourii,UA06,NW,10,cover,3,NA,NA,native
Jurinea ledebourii,UA06,SE,10,cover,0.2,NA,NA,native
Jurinea ledebourii,UA06,x,100,cover,1.6,NA,NA,native
Jurinea ledebourii,UA08,SE,1,p/a,1,NA,NA,native
Jurinea ledebourii,UA08,SE,10,cover,0.5,NA,NA,native
Jurinea ledebourii,UA08,x,100,cover,0.25,NA,NA,native
Jurinea ledebourii,UA12,NW,10,cover,40,NA,NA,native
Jurinea ledebourii,UA12,x,100,cover,20,NA,NA,native
Jurinea ledebourii,UA13,NW,10,cover,0.05,NA,NA,native
Jurinea ledebourii,UA13,SE,10,cover,0.1,NA,NA,native
Jurinea ledebourii,UA13,x,100,cover,0.075,NA,NA,native
Jurinea ledebourii,UA14,x,100,cover,0.1,NA,NA,native
Jurinea ledebourii,UA15,SE,0.01,p/a,1,NA,NA,native
Jurinea ledebourii,UA15,SE,0.1,p/a,1,NA,NA,native
Jurinea ledebourii,UA15,SE,1,p/a,1,NA,NA,native
Jurinea ledebourii,UA15,SE,10,cover,0.5,NA,NA,native
Jurinea ledebourii,UA15,x,100,cover,0.25,NA,NA,native
Jurinea ledebourii,UA17,NW,10,cover,0.1,NA,NA,native
Jurinea ledebourii,UA17,SE,10,cover,0.2,NA,NA,native
Jurinea ledebourii,UA17,x,100,cover,0.15,NA,NA,native
Jurinea ledebourii,UA18,SE,10,cover,0.3,NA,NA,native
Jurinea ledebourii,UA18,x,100,cover,0.15,NA,NA,native
Jurinea ledebourii,UA20,NW,1e-4,p/a,1,NA,NA,native
Jurinea ledebourii,UA20,NW,0.001,p/a,1,NA,NA,native
Jurinea ledebourii,UA20,NW,0.01,p/a,1,NA,NA,native
Jurinea ledebourii,UA20,NW,0.1,p/a,1,NA,NA,native
Jurinea ledebourii,UA20,NW,1,p/a,1,NA,NA,native
Jurinea ledebourii,UA20,NW,10,cover,20,NA,NA,native
Jurinea ledebourii,UA20,SE,1e-4,p/a,1,NA,NA,native
Jurinea ledebourii,UA20,SE,0.001,p/a,1,NA,NA,native
Jurinea ledebourii,UA20,SE,0.01,p/a,1,NA,NA,native
Jurinea ledebourii,UA20,SE,0.1,p/a,1,NA,NA,native
Jurinea ledebourii,UA20,SE,1,p/a,1,NA,NA,native
Jurinea ledebourii,UA20,SE,10,cover,40,NA,NA,native
Jurinea ledebourii,UA20,x,100,cover,30,NA,NA,native
Knautia arvensis,UA01,NW,10,cover,1,NA,NA,native
Knautia arvensis,UA01,SE,1,p/a,1,NA,NA,native
Knautia arvensis,UA01,SE,10,cover,0.5,NA,NA,native
Knautia arvensis,UA01,x,100,cover,0.75,NA,NA,native
Knautia arvensis,UA03,x,100,cover,0.1,NA,NA,native
Knautia arvensis,UA06,x,100,cover,0.1,NA,NA,native
Knautia arvensis,UA07,NW,0.01,p/a,1,NA,NA,native
Knautia arvensis,UA07,NW,0.1,p/a,1,NA,NA,native
Knautia arvensis,UA07,NW,1,p/a,1,NA,NA,native
Knautia arvensis,UA07,NW,10,cover,0.5,NA,NA,native
Knautia arvensis,UA07,x,100,cover,0.25,NA,NA,native
Knautia arvensis,UA10,SE,0.001,p/a,1,NA,NA,native
Knautia arvensis,UA10,SE,0.01,p/a,1,NA,NA,native
Knautia arvensis,UA10,SE,0.1,p/a,1,NA,NA,native
Knautia arvensis,UA10,SE,1,p/a,1,NA,NA,native
Knautia arvensis,UA10,SE,10,cover,0.2,NA,NA,native
Knautia arvensis,UA10,x,100,cover,0.1,NA,NA,native
Knautia arvensis,UA15,x,100,cover,0.1,NA,NA,native
Koeleria macrantha,UA01,NW,1,p/a,1,NA,NA,native
Koeleria macrantha,UA01,NW,10,cover,0.3,NA,NA,native
Koeleria macrantha,UA01,SE,10,cover,1,NA,NA,native
Koeleria macrantha,UA01,x,100,cover,0.65,NA,NA,native
Koeleria macrantha,UA02,NW,0.001,p/a,1,NA,NA,native
Koeleria macrantha,UA02,NW,0.01,p/a,1,NA,NA,native
Koeleria macrantha,UA02,NW,0.1,p/a,1,NA,NA,native
Koeleria macrantha,UA02,NW,1,p/a,1,NA,NA,native
Koeleria macrantha,UA02,NW,10,cover,2,NA,NA,native
Koeleria macrantha,UA02,SE,0.1,p/a,1,NA,NA,native
Koeleria macrantha,UA02,SE,1,p/a,1,NA,NA,native
Koeleria macrantha,UA02,SE,10,cover,2,NA,NA,native
Koeleria macrantha,UA02,x,100,cover,2,NA,NA,native
Koeleria macrantha,UA03,NW,10,cover,1,NA,NA,native
Koeleria macrantha,UA03,SE,0.01,p/a,1,NA,NA,native
Koeleria macrantha,UA03,SE,0.1,p/a,1,NA,NA,native
Koeleria macrantha,UA03,SE,1,p/a,1,NA,NA,native
Koeleria macrantha,UA03,SE,10,cover,2,NA,NA,native
Koeleria macrantha,UA03,x,100,cover,1.5,NA,NA,native
Koeleria macrantha,UA06,SE,10,cover,0.1,NA,NA,native
Koeleria macrantha,UA06,x,100,cover,0.05,NA,NA,native
Koeleria macrantha,UA07,SE,0.1,p/a,1,NA,NA,native
Koeleria macrantha,UA07,SE,1,p/a,1,NA,NA,native
Koeleria macrantha,UA07,SE,10,cover,1,NA,NA,native
Koeleria macrantha,UA07,x,100,cover,0.5,NA,NA,native
Koeleria macrantha,UA10,NW,1e-4,p/a,1,NA,NA,native
Koeleria macrantha,UA10,NW,0.001,p/a,1,NA,NA,native
Koeleria macrantha,UA10,NW,0.01,p/a,1,NA,NA,native
Koeleria macrantha,UA10,NW,0.1,p/a,1,NA,NA,native
Koeleria macrantha,UA10,NW,1,p/a,1,NA,NA,native
Koeleria macrantha,UA10,NW,10,cover,3,NA,NA,native
Koeleria macrantha,UA10,x,100,cover,1.5,NA,NA,native
Koeleria macrantha,UA13,SE,10,cover,1,NA,NA,native
Koeleria macrantha,UA13,x,100,cover,0.5,NA,NA,native
Koeleria macrantha,UA14,NW,10,cover,0.3,NA,NA,native
Koeleria macrantha,UA14,SE,0.1,p/a,1,NA,NA,native
Koeleria macrantha,UA14,SE,1,p/a,1,NA,NA,native
Koeleria macrantha,UA14,SE,10,cover,2,NA,NA,native
Koeleria macrantha,UA14,x,100,cover,1.15,NA,NA,native
Koeleria macrantha,UA15,SE,1e-4,p/a,1,NA,NA,native
Koeleria macrantha,UA15,SE,0.001,p/a,1,NA,NA,native
Koeleria macrantha,UA15,SE,0.01,p/a,1,NA,NA,native
Koeleria macrantha,UA15,SE,0.1,p/a,1,NA,NA,native
Koeleria macrantha,UA15,SE,1,p/a,1,NA,NA,native
Koeleria macrantha,UA15,SE,10,cover,5,NA,NA,native
Koeleria macrantha,UA15,x,100,cover,2.5,NA,NA,native
Koeleria macrantha,UA16,NW,10,cover,1,NA,NA,native
Koeleria macrantha,UA16,x,100,cover,0.5,NA,NA,native
Koeleria macrantha,UA17,NW,1,p/a,1,NA,NA,native
Koeleria macrantha,UA17,NW,10,cover,2,NA,NA,native
Koeleria macrantha,UA17,SE,0.1,p/a,1,NA,NA,native
Koeleria macrantha,UA17,SE,1,p/a,1,NA,NA,native
Koeleria macrantha,UA17,SE,10,cover,0.01,NA,NA,native
Koeleria macrantha,UA17,x,100,cover,1.005,NA,NA,native
Koeleria macrantha,UA21,NW,1e-4,p/a,1,NA,NA,native
Koeleria macrantha,UA21,NW,0.001,p/a,1,NA,NA,native
Koeleria macrantha,UA21,NW,0.01,p/a,1,NA,NA,native
Koeleria macrantha,UA21,NW,0.1,p/a,1,NA,NA,native
Koeleria macrantha,UA21,NW,1,p/a,1,NA,NA,native
Koeleria macrantha,UA21,NW,10,cover,2,NA,NA,native
Koeleria macrantha,UA21,SE,1e-4,p/a,1,NA,NA,native
Koeleria macrantha,UA21,SE,0.001,p/a,1,NA,NA,native
Koeleria macrantha,UA21,SE,0.01,p/a,1,NA,NA,native
Koeleria macrantha,UA21,SE,0.1,p/a,1,NA,NA,native
Koeleria macrantha,UA21,SE,1,p/a,1,NA,NA,native
Koeleria macrantha,UA21,SE,10,cover,1,NA,NA,native
Koeleria macrantha,UA21,x,100,cover,1.5,NA,NA,native
Lactuca serriola,UA04,x,100,cover,0.1,naturalised,archaeophyte,non_native
Lactuca serriola,UA08,NW,10,cover,0.1,naturalised,archaeophyte,non_native
Lactuca serriola,UA08,x,100,cover,0.05,naturalised,archaeophyte,non_native
Lactuca serriola,UA10,x,100,cover,0.1,naturalised,archaeophyte,non_native
Lappula squarrosa,UA09,SE,0.1,p/a,1,naturalised,archaeophyte,non_native
Lappula squarrosa,UA09,SE,1,p/a,1,naturalised,archaeophyte,non_native
Lappula squarrosa,UA09,SE,10,cover,0.1,naturalised,archaeophyte,non_native
Lappula squarrosa,UA09,x,100,cover,0.05,naturalised,archaeophyte,non_native
Lappula squarrosa,UA12,SE,10,cover,0.1,naturalised,archaeophyte,non_native
Lappula squarrosa,UA12,x,100,cover,0.05,naturalised,archaeophyte,non_native
Lathyrus tuberosus,UA05,x,100,cover,0.1,naturalised,archaeophyte,non_native
Lathyrus tuberosus,UA06,x,100,cover,0.1,naturalised,archaeophyte,non_native
Lembotropis nigricans,UA15,NW,10,cover,1,NA,NA,native
Lembotropis nigricans,UA15,SE,1,p/a,1,NA,NA,native
Lembotropis nigricans,UA15,SE,10,cover,0.5,NA,NA,native
Lembotropis nigricans,UA15,x,100,cover,0.75,NA,NA,native
Lembotropis nigricans,UA19,NW,10,cover,3,NA,NA,native
Lembotropis nigricans,UA19,SE,1e-4,p/a,1,NA,NA,native
Lembotropis nigricans,UA19,SE,0.001,p/a,1,NA,NA,native
Lembotropis nigricans,UA19,SE,0.01,p/a,1,NA,NA,native
Lembotropis nigricans,UA19,SE,0.1,p/a,1,NA,NA,native
Lembotropis nigricans,UA19,SE,1,p/a,1,NA,NA,native
Lembotropis nigricans,UA19,SE,10,cover,10,NA,NA,native
Lembotropis nigricans,UA19,x,100,cover,6.5,NA,NA,native
Leontodon crispus,UA09,NW,10,cover,0.4,NA,NA,native
Leontodon crispus,UA09,SE,1,p/a,1,NA,NA,native
Leontodon crispus,UA09,SE,10,cover,2,NA,NA,native
Leontodon crispus,UA09,x,100,cover,1.2,NA,NA,native
Leontodon crispus,UA11,x,100,cover,0.1,NA,NA,native
Leontodon crispus,UA12,SE,0.1,p/a,1,NA,NA,native
Leontodon crispus,UA12,SE,1,p/a,1,NA,NA,native
Leontodon crispus,UA12,SE,10,cover,0.1,NA,NA,native
Leontodon crispus,UA12,x,100,cover,0.05,NA,NA,native
Leontodon crispus,UA17,NW,0.1,p/a,1,NA,NA,native
Leontodon crispus,UA17,NW,1,p/a,1,NA,NA,native
Leontodon crispus,UA17,NW,10,cover,0.2,NA,NA,native
Leontodon crispus,UA17,SE,1,p/a,1,NA,NA,native
Leontodon crispus,UA17,SE,10,cover,0.5,NA,NA,native
Leontodon crispus,UA17,x,100,cover,0.35,NA,NA,native
Leontodon crispus,UA18,NW,10,cover,0.2,NA,NA,native
Leontodon crispus,UA18,x,100,cover,0.1,NA,NA,native
Leontodon crispus,UA20,x,100,cover,0.1,NA,NA,native
Leontodon crispus,UA21,NW,10,cover,0.2,NA,NA,native
Leontodon crispus,UA21,x,100,cover,0.1,NA,NA,native
Leontodon hispidus,UA03,SE,1,p/a,1,NA,NA,native
Leontodon hispidus,UA03,SE,10,cover,1,NA,NA,native
Leontodon hispidus,UA03,x,100,cover,0.5,NA,NA,native
Leontodon hispidus,UA04,x,100,cover,0.1,NA,NA,native
Leontodon hispidus,UA05,SE,0.1,p/a,1,NA,NA,native
Leontodon hispidus,UA05,SE,1,p/a,1,NA,NA,native
Leontodon hispidus,UA05,SE,10,cover,0.1,NA,NA,native
Leontodon hispidus,UA05,x,100,cover,0.05,NA,NA,native
Leontodon hispidus,UA08,NW,0.1,p/a,1,NA,NA,native
Leontodon hispidus,UA08,NW,1,p/a,1,NA,NA,native
Leontodon hispidus,UA08,NW,10,cover,1,NA,NA,native
Leontodon hispidus,UA08,SE,10,cover,0.5,NA,NA,native
Leontodon hispidus,UA08,x,100,cover,0.75,NA,NA,native
Leontodon hispidus,UA10,x,100,cover,0.1,NA,NA,native
Leontodon hispidus,UA13,SE,10,cover,1,NA,NA,native
Leontodon hispidus,UA13,x,100,cover,0.5,NA,NA,native
Leontodon hispidus,UA16,SE,1,p/a,1,NA,NA,native
Leontodon hispidus,UA16,SE,10,cover,0.1,NA,NA,native
Leontodon hispidus,UA16,x,100,cover,0.05,NA,NA,native
Leontodon hispidus,UA19,SE,10,cover,1,NA,NA,native
Leontodon hispidus,UA19,x,100,cover,0.5,NA,NA,native
Leontodon hispidus,UA20,SE,10,cover,0.01,NA,NA,native
Leontodon hispidus,UA20,x,100,cover,0.005,NA,NA,native
Leopoldia comosa,UA13,NW,10,cover,0.05,NA,NA,native
Leopoldia comosa,UA13,x,100,cover,0.025,NA,NA,native
Leopoldia comosa,UA17,SE,10,cover,0.02,NA,NA,native
