dataset,layer,group,species,series,subplot,scale,response,value
4,H,VP,Alyssum turkestanicum,SB20062,SE,10,cover,0.01
4,H,VP,Alyssum turkestanicum,SB20062,x,100,cover,0.255
4,H,VP,Alyssum turkestanicum,SB20063,NW,10,cover,0.01
4,H,VP,Alyssum turkestanicum,SB20063,SE,1,p/a,1
4,H,VP,Alyssum turkestanicum,SB20063,SE,10,cover,0.2
4,H,VP,Alyssum turkestanicum,SB20063,x,100,cover,0.105
4,H,VP,Alyssum turkestanicum,SB20077,NW,10,cover,0.01
4,H,VP,Alyssum turkestanicum,SB20077,x,100,cover,0.005
4,H,VP,Alyssum turkestanicum,SB20078,NW,1,p/a,1
4,H,VP,Alyssum turkestanicum,SB20078,NW,10,cover,0.01
4,H,VP,Alyssum turkestanicum,SB20078,SE,10,cover,0.01
4,H,VP,Alyssum turkestanicum,SB20078,x,100,cover,0.01
4,H,VP,Alyssum turkestanicum,SB20079,NW,0.1,p/a,1
4,H,VP,Alyssum turkestanicum,SB20079,NW,1,p/a,1
4,H,VP,Alyssum turkestanicum,SB20079,NW,10,cover,0.2
4,H,VP,Alyssum turkestanicum,SB20079,SE,10,cover,0.01
4,H,VP,Alyssum turkestanicum,SB20079,x,100,cover,0.105
4,H,VP,Alyssum turkestanicum,SB20104,SE,0.1,p/a,1
4,H,VP,Alyssum turkestanicum,SB20104,SE,1,p/a,1
4,H,VP,Alyssum turkestanicum,SB20104,SE,10,cover,0.001
4,H,VP,Alyssum turkestanicum,SB20104,x,100,cover,5e-4
4,H,VP,Anagallis arvensis,SB20160,NW,10,cover,0.2
4,H,VP,Anagallis arvensis,SB20160,SE,10,cover,0.01
4,H,VP,Anagallis arvensis,SB20160,x,100,cover,0.105
4,H,VP,Androsace maxima subsp. turczaninovii,SB20083,SE,10,cover,0.001
4,H,VP,Androsace maxima subsp. turczaninovii,SB20083,x,100,cover,5e-4
4,H,VP,Anisantha tectorum,SB20060,NE,10,cover,0.01
4,H,VP,Anisantha tectorum,SB20060,x,100,cover,0.005
4,H,VP,Anisantha tectorum,SB20061,SE,10,cover,0.1
4,H,VP,Anisantha tectorum,SB20061,x,100,cover,0.05
4,H,VP,Anisantha tectorum,SB20062,NW,10,cover,0.1
4,H,VP,Anisantha tectorum,SB20062,x,100,cover,0.05
4,H,VP,Anisantha tectorum,SB20078,SE,1,p/a,1
4,H,VP,Anisantha tectorum,SB20078,SE,10,cover,0.01
4,H,VP,Anisantha tectorum,SB20078,x,100,cover,0.005
4,H,VP,Anisantha tectorum,SB20081,SE,10,cover,0.01
4,H,VP,Anisantha tectorum,SB20081,x,100,cover,0.005
4,H,VP,Anisantha tectorum,SB20083,NW,10,cover,0.01
4,H,VP,Anisantha tectorum,SB20083,x,100,cover,0.005
4,H,VP,Anisantha tectorum,SB20084,SE,0.1,p/a,1
4,H,VP,Anisantha tectorum,SB20084,SE,1,p/a,1
4,H,VP,Anisantha tectorum,SB20084,SE,10,cover,0.1
4,H,VP,Anisantha tectorum,SB20084,x,100,cover,0.05
4,H,VP,Anthemis ruthenica,SB20061,x,100,cover,0.01
4,H,VP,Anthemis ruthenica,SB20062,NW,10,cover,0.7
4,H,VP,Anthemis ruthenica,SB20062,SE,10,cover,0.01
4,H,VP,Anthemis ruthenica,SB20062,x,100,cover,0.355
4,H,VP,Anthemis ruthenica,SB20063,NW,0.1,p/a,1
4,H,VP,Anthemis ruthenica,SB20063,NW,1,p/a,1
4,H,VP,Anthemis ruthenica,SB20063,NW,10,cover,0.9
4,H,VP,Anthemis ruthenica,SB20063,SE,1,p/a,1
4,H,VP,Anthemis ruthenica,SB20063,SE,10,cover,0.5
4,H,VP,Anthemis ruthenica,SB20063,x,100,cover,0.7
4,H,VP,Anthemis ruthenica,SB20077,NW,0.1,p/a,1
4,H,VP,Anthemis ruthenica,SB20077,NW,1,p/a,1
4,H,VP,Anthemis ruthenica,SB20077,NW,10,cover,7
4,H,VP,Anthemis ruthenica,SB20077,SE,0.1,p/a,1
4,H,VP,Anthemis ruthenica,SB20077,SE,1,p/a,1
4,H,VP,Anthemis ruthenica,SB20077,SE,10,cover,1
4,H,VP,Anthemis ruthenica,SB20077,x,100,cover,4
4,H,VP,Anthemis ruthenica,SB20078,NW,10,cover,0.1
4,H,VP,Anthemis ruthenica,SB20078,SE,10,cover,0.01
4,H,VP,Anthemis ruthenica,SB20078,x,100,cover,0.055
4,H,VP,Anthemis ruthenica,SB20079,x,100,cover,0.001
4,H,VP,Arenaria rigida,SB20061,NW,10,cover,2
4,H,VP,Arenaria rigida,SB20061,SE,1,p/a,1
4,H,VP,Arenaria rigida,SB20061,SE,10,cover,1.5
4,H,VP,Arenaria rigida,SB20061,x,100,cover,1.75
4,H,VP,Arenaria serpyllifolia,SB20061,NW,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20061,NW,10,cover,3
4,H,VP,Arenaria serpyllifolia,SB20061,SE,10,cover,0.2
4,H,VP,Arenaria serpyllifolia,SB20061,x,100,cover,1.6
4,H,VP,Arenaria serpyllifolia,SB20062,NW,0.01,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20062,NW,0.1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20062,NW,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20062,NW,10,cover,1
4,H,VP,Arenaria serpyllifolia,SB20062,SE,0.1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20062,SE,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20062,SE,10,cover,0.01
4,H,VP,Arenaria serpyllifolia,SB20062,x,100,cover,0.505
4,H,VP,Arenaria serpyllifolia,SB20063,NW,0.1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20063,NW,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20063,NW,10,cover,0.1
4,H,VP,Arenaria serpyllifolia,SB20063,x,100,cover,0.05
4,H,VP,Arenaria serpyllifolia,SB20077,NW,10,cover,0.01
4,H,VP,Arenaria serpyllifolia,SB20077,x,100,cover,0.005
4,H,VP,Arenaria serpyllifolia,SB20078,NW,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20078,NW,10,cover,0.01
4,H,VP,Arenaria serpyllifolia,SB20078,SE,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20078,SE,10,cover,0.01
4,H,VP,Arenaria serpyllifolia,SB20078,x,100,cover,0.01
4,H,VP,Arenaria serpyllifolia,SB20081,NW,0.1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20081,NW,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20081,NW,10,cover,0.01
4,H,VP,Arenaria serpyllifolia,SB20081,SE,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20081,SE,10,cover,0.1
4,H,VP,Arenaria serpyllifolia,SB20081,x,100,cover,0.055
4,H,VP,Arenaria serpyllifolia,SB20083,NW,0.1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20083,NW,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20083,NW,10,cover,0.2
4,H,VP,Arenaria serpyllifolia,SB20083,SE,0.1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20083,SE,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20083,SE,10,cover,0.01
4,H,VP,Arenaria serpyllifolia,SB20083,x,100,cover,0.105
4,H,VP,Arenaria serpyllifolia,SB20084,NW,0.001,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20084,NW,0.01,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20084,NW,0.1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20084,NW,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20084,NW,10,cover,0.2
4,H,VP,Arenaria serpyllifolia,SB20084,SE,0.1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20084,SE,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20084,SE,10,cover,0.5
4,H,VP,Arenaria serpyllifolia,SB20084,x,100,cover,0.35
4,H,VP,Arenaria serpyllifolia,SB20100,NW,10,cover,0.001
4,H,VP,Arenaria serpyllifolia,SB20100,x,100,cover,5e-4
4,H,VP,Arenaria serpyllifolia,SB20101,NE,0.001,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20101,NE,0.01,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20101,NE,0.1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20101,NE,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20101,NE,10,cover,0.5
4,H,VP,Arenaria serpyllifolia,SB20101,SW,0.001,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20101,SW,0.01,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20101,SW,0.1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20101,SW,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20101,SW,10,cover,0.2
4,H,VP,Arenaria serpyllifolia,SB20101,x,100,cover,0.35
4,H,VP,Arenaria serpyllifolia,SB20102,NW,0.1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20102,NW,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20102,NW,10,cover,0.05
4,H,VP,Arenaria serpyllifolia,SB20102,SE,0.01,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20102,SE,0.1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20102,SE,1,p/a,1
4,H,VP,Arenaria serpyllifolia,SB20102,SE,10,cover,0.7
4,H,VP,Arenaria serpyllifolia,SB20102,x,100,cover,0.375
4,H,VP,Arenaria serpyllifolia,SB20104,x,100,cover,0.001
4,H,VP,Arenaria serpyllifolia,SB20160,NW,10,cover,0.01
4,H,VP,Arenaria serpyllifolia,SB20160,x,100,cover,0.005
4,H,VP,Arenaria serpyllifolia,SB20169,SW,10,cover,0.001
4,H,VP,Arenaria serpyllifolia,SB20169,x,100,cover,5e-4
4,H,VP,Artemisia austriaca,SB20033,NE,10,cover,0.7
4,H,VP,Artemisia austriaca,SB20033,x,100,cover,0.35
4,H,VP,Artemisia austriaca,SB20060,NE,0.01,p/a,1
4,H,VP,Artemisia austriaca,SB20060,NE,0.1,p/a,1
4,H,VP,Artemisia austriaca,SB20060,NE,1,p/a,1
4,H,VP,Artemisia austriaca,SB20060,NE,10,cover,2
4,H,VP,Artemisia austriaca,SB20060,x,100,cover,1
4,H,VP,Artemisia austriaca,SB20061,NW,0.01,p/a,1
4,H,VP,Artemisia austriaca,SB20061,NW,0.1,p/a,1
4,H,VP,Artemisia austriaca,SB20061,NW,1,p/a,1
4,H,VP,Artemisia austriaca,SB20061,NW,10,cover,5
4,H,VP,Artemisia austriaca,SB20061,SE,0.1,p/a,1
4,H,VP,Artemisia austriaca,SB20061,SE,1,p/a,1
4,H,VP,Artemisia austriaca,SB20061,SE,10,cover,1
4,H,VP,Artemisia austriaca,SB20061,x,100,cover,3
4,H,VP,Artemisia austriaca,SB20062,NW,0.001,p/a,1
4,H,VP,Artemisia austriaca,SB20062,NW,0.01,p/a,1
4,H,VP,Artemisia austriaca,SB20062,NW,0.1,p/a,1
4,H,VP,Artemisia austriaca,SB20062,NW,1,p/a,1
4,H,VP,Artemisia austriaca,SB20062,NW,10,cover,3
4,H,VP,Artemisia austriaca,SB20062,SE,1,p/a,1
4,H,VP,Artemisia austriaca,SB20062,SE,10,cover,2
4,H,VP,Artemisia austriaca,SB20062,x,100,cover,2.5
4,H,VP,Artemisia austriaca,SB20077,NW,0.1,p/a,1
4,H,VP,Artemisia austriaca,SB20077,NW,1,p/a,1
4,H,VP,Artemisia austriaca,SB20077,NW,10,cover,0.1
4,H,VP,Artemisia austriaca,SB20077,SE,10,cover,0.1
4,H,VP,Artemisia austriaca,SB20077,x,100,cover,0.1
4,H,VP,Artemisia austriaca,SB20078,SE,0.1,p/a,1
4,H,VP,Artemisia austriaca,SB20078,SE,1,p/a,1
4,H,VP,Artemisia austriaca,SB20078,SE,10,cover,3
4,H,VP,Artemisia austriaca,SB20078,x,100,cover,1.5
4,H,VP,Artemisia austriaca,SB20081,SE,10,cover,1
4,H,VP,Artemisia austriaca,SB20081,x,100,cover,0.5
4,H,VP,Artemisia austriaca,SB20083,NW,1,p/a,1
4,H,VP,Artemisia austriaca,SB20083,NW,10,cover,0.1
4,H,VP,Artemisia austriaca,SB20083,x,100,cover,0.05
4,H,VP,Artemisia austriaca,SB20084,NW,10,cover,0.05
4,H,VP,Artemisia austriaca,SB20084,x,100,cover,0.025
4,H,VP,Artemisia austriaca,SB20100,SE,10,cover,0.1
4,H,VP,Artemisia austriaca,SB20100,x,100,cover,0.05
4,H,VP,Artemisia austriaca,SB20101,NE,0.1,p/a,1
4,H,VP,Artemisia austriaca,SB20101,NE,1,p/a,1
4,H,VP,Artemisia austriaca,SB20101,NE,10,cover,1
4,H,VP,Artemisia austriaca,SB20101,x,100,cover,0.5
4,H,VP,Artemisia campestris subsp. inodora,SB20063,x,100,cover,0.1
4,H,VP,Artemisia lerchiana,SB20033,NE,0.1,p/a,1
4,H,VP,Artemisia lerchiana,SB20033,NE,1,p/a,1
4,H,VP,Artemisia lerchiana,SB20033,NE,10,cover,1
4,H,VP,Artemisia lerchiana,SB20033,SW,10,cover,0.5
4,H,VP,Artemisia lerchiana,SB20033,x,100,cover,0.75
4,H,VP,Artemisia lerchiana,SB20060,NE,1,p/a,1
4,H,VP,Artemisia lerchiana,SB20060,NE,10,cover,4
4,H,VP,Artemisia lerchiana,SB20060,SW,1,p/a,1
4,H,VP,Artemisia lerchiana,SB20060,SW,10,cover,12
4,H,VP,Artemisia lerchiana,SB20060,x,100,cover,8
4,H,VP,Artemisia lerchiana,SB20062,NW,10,cover,0.2
4,H,VP,Artemisia lerchiana,SB20062,SE,1,p/a,1
4,H,VP,Artemisia lerchiana,SB20062,SE,10,cover,1
4,H,VP,Artemisia lerchiana,SB20062,x,100,cover,0.6
4,H,VP,Artemisia lerchiana,SB20063,NW,10,cover,0.1
4,H,VP,Artemisia lerchiana,SB20063,SE,10,cover,0.5
4,H,VP,Artemisia lerchiana,SB20063,x,100,cover,0.3
4,H,VP,Artemisia lerchiana,SB20077,SE,10,cover,0.1
4,H,VP,Artemisia lerchiana,SB20077,x,100,cover,0.05
4,H,VP,Artemisia lerchiana,SB20079,SE,10,cover,3
4,H,VP,Artemisia lerchiana,SB20079,x,100,cover,1.5
4,H,VP,Asparagus officinalis,SB20101,SW,10,cover,0.1
4,H,VP,Asparagus officinalis,SB20101,x,100,cover,0.05
4,H,VP,Asperula cynanchica,SB20081,NW,10,cover,0.1
4,H,VP,Asperula cynanchica,SB20081,SE,0.01,p/a,1
4,H,VP,Asperula cynanchica,SB20081,SE,0.1,p/a,1
4,H,VP,Asperula cynanchica,SB20081,SE,1,p/a,1
4,H,VP,Asperula cynanchica,SB20081,SE,10,cover,0.2
4,H,VP,Asperula cynanchica,SB20081,x,100,cover,0.15
4,H,VP,Asperula cynanchica,SB20084,NW,0.1,p/a,1
4,H,VP,Asperula cynanchica,SB20084,NW,1,p/a,1
4,H,VP,Asperula cynanchica,SB20084,NW,10,cover,0.001
4,H,VP,Asperula cynanchica,SB20084,x,100,cover,5e-4
4,H,VP,Asperula cynanchica,SB20100,NW,0.1,p/a,1
4,H,VP,Asperula cynanchica,SB20100,NW,1,p/a,1
4,H,VP,Asperula cynanchica,SB20100,NW,10,cover,0.1
4,H,VP,Asperula cynanchica,SB20100,SE,10,cover,0.001
4,H,VP,Asperula cynanchica,SB20100,x,100,cover,0.0505
4,H,VP,Asperula cynanchica,SB20101,NE,10,cover,0.2
4,H,VP,Asperula cynanchica,SB20101,x,100,cover,0.1
4,H,VP,Asperula cynanchica,SB20103,NW,10,cover,0.01
4,H,VP,Asperula cynanchica,SB20103,SE,10,cover,0.1
4,H,VP,Asperula cynanchica,SB20103,x,100,cover,0.055
4,H,VP,Asperula montana,SB20104,NW,0.1,p/a,1
4,H,VP,Asperula montana,SB20104,NW,1,p/a,1
4,H,VP,Asperula montana,SB20104,NW,10,cover,0.3
4,H,VP,Asperula montana,SB20104,SE,0.01,p/a,1
4,H,VP,Asperula montana,SB20104,SE,0.1,p/a,1
4,H,VP,Asperula montana,SB20104,SE,1,p/a,1
4,H,VP,Asperula montana,SB20104,SE,10,cover,0.7
4,H,VP,Asperula montana,SB20104,x,100,cover,0.5
4,H,VP,Asperula montana,SB20150,NW,0.0001,p/a,1
4,H,VP,Asperula montana,SB20150,NW,0.001,p/a,1
4,H,VP,Asperula montana,SB20150,NW,0.01,p/a,1
4,H,VP,Asperula montana,SB20150,NW,0.1,p/a,1
4,H,VP,Asperula montana,SB20150,NW,1,p/a,1
4,H,VP,Asperula montana,SB20150,NW,10,cover,2
4,H,VP,Asperula montana,SB20150,SE,0.1,p/a,1
4,H,VP,Asperula montana,SB20150,SE,1,p/a,1
4,H,VP,Asperula montana,SB20150,SE,10,cover,1
4,H,VP,Asperula montana,SB20150,x,100,cover,1.5
4,H,VP,Asperula montana,SB20160,NW,1,p/a,1
4,H,VP,Asperula montana,SB20160,NW,10,cover,0.5
4,H,VP,Asperula montana,SB20160,SE,0.001,p/a,1
4,H,VP,Asperula montana,SB20160,SE,0.01,p/a,1
4,H,VP,Asperula montana,SB20160,SE,0.1,p/a,1
4,H,VP,Asperula montana,SB20160,SE,1,p/a,1
4,H,VP,Asperula montana,SB20160,SE,10,cover,0.2
4,H,VP,Asperula montana,SB20160,x,100,cover,0.35
4,H,VP,Asperula montana,SB20169,NE,0.1,p/a,1
4,H,VP,Asperula montana,SB20169,NE,1,p/a,1
4,H,VP,Asperula montana,SB20169,NE,10,cover,0.7
4,H,VP,Asperula montana,SB20169,SW,0.01,p/a,1
4,H,VP,Asperula montana,SB20169,SW,0.1,p/a,1
4,H,VP,Asperula montana,SB20169,SW,1,p/a,1
4,H,VP,Asperula montana,SB20169,SW,10,cover,2
4,H,VP,Asperula montana,SB20169,x,100,cover,1.35
4,H,VP,Asteraceae species,SB20081,SE,10,cover,0.001
4,H,VP,Asteraceae species,SB20081,x,100,cover,5e-4
4,H,VP,Astragalus austriacus,SB20100,SE,0.01,p/a,1
4,H,VP,Astragalus austriacus,SB20100,SE,0.1,p/a,1
4,H,VP,Astragalus austriacus,SB20100,SE,1,p/a,1
4,H,VP,Astragalus austriacus,SB20100,SE,10,cover,1
4,H,VP,Astragalus austriacus,SB20100,x,100,cover,0.5
4,H,VP,Astragalus corniculatus,SB20100,NW,10,cover,0.3
4,H,VP,Astragalus corniculatus,SB20100,x,100,cover,0.15
4,H,VP,Astragalus onobrychis,SB20033,x,100,cover,0.01
4,H,VP,Astragalus onobrychis,SB20063,NW,10,cover,0.7
4,H,VP,Astragalus onobrychis,SB20063,SE,1,p/a,1
4,H,VP,Astragalus onobrychis,SB20063,SE,10,cover,0.1
4,H,VP,Astragalus onobrychis,SB20063,x,100,cover,0.4
4,H,VP,Astragalus onobrychis,SB20100,x,100,cover,0.1
4,H,VP,Astragalus onobrychis,SB20102,x,100,cover,0.1
4,H,VP,Astragalus onobrychis,SB20103,NW,10,cover,0.1
4,H,VP,Astragalus onobrychis,SB20103,x,100,cover,0.05
4,H,VP,Astragalus pallescens,SB20081,x,100,cover,0.1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20104,NW,0.01,p/a,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20104,NW,0.1,p/a,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20104,NW,1,p/a,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20104,NW,10,cover,8
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20104,SE,0.01,p/a,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20104,SE,0.1,p/a,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20104,SE,1,p/a,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20104,SE,10,cover,15
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20104,x,100,cover,11.5
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20150,NW,0.1,p/a,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20150,NW,1,p/a,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20150,NW,10,cover,2
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20150,x,100,cover,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20160,NW,1,p/a,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20160,NW,10,cover,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20160,SE,1,p/a,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20160,SE,10,cover,0.5
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20160,x,100,cover,0.75
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20169,NE,0.1,p/a,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20169,NE,1,p/a,1
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20169,NE,10,cover,0.5
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20169,SW,10,cover,0.5
4,H,VP,Astragalus vesicarius subsp. vesicarius,SB20169,x,100,cover,0.5
4,H,VP,Atriplex tatarica,SB20060,SW,10,cover,0.01
4,H,VP,Atriplex tatarica,SB20060,x,100,cover,0.005
4,H,VP,Bassia prostrata,SB20033,NE,10,cover,3
4,H,VP,Bassia prostrata,SB20033,SW,1,p/a,1
4,H,VP,Bassia prostrata,SB20033,SW,10,cover,2
4,H,VP,Bassia prostrata,SB20033,x,100,cover,2.5
4,H,VP,Bassia prostrata,SB20060,NE,0.1,p/a,1
4,H,VP,Bassia prostrata,SB20060,NE,1,p/a,1
4,H,VP,Bassia prostrata,SB20060,NE,10,cover,5
4,H,VP,Bassia prostrata,SB20060,SW,0.1,p/a,1
4,H,VP,Bassia prostrata,SB20060,SW,1,p/a,1
4,H,VP,Bassia prostrata,SB20060,SW,10,cover,10
4,H,VP,Bassia prostrata,SB20060,x,100,cover,7.5
4,H,VP,Bassia prostrata,SB20061,NW,1,p/a,1
4,H,VP,Bassia prostrata,SB20061,NW,10,cover,1
4,H,VP,Bassia prostrata,SB20061,SE,10,cover,1
4,H,VP,Bassia prostrata,SB20061,x,100,cover,1
4,H,VP,Bassia prostrata,SB20062,NW,0.1,p/a,1
4,H,VP,Bassia prostrata,SB20062,NW,1,p/a,1
4,H,VP,Bassia prostrata,SB20062,NW,10,cover,1
4,H,VP,Bassia prostrata,SB20062,SE,1,p/a,1
4,H,VP,Bassia prostrata,SB20062,SE,10,cover,0.7
4,H,VP,Bassia prostrata,SB20062,x,100,cover,0.85
4,H,VP,Bassia prostrata,SB20063,NW,0.01,p/a,1
4,H,VP,Bassia prostrata,SB20063,NW,0.1,p/a,1
4,H,VP,Bassia prostrata,SB20063,NW,1,p/a,1
4,H,VP,Bassia prostrata,SB20063,NW,10,cover,4
4,H,VP,Bassia prostrata,SB20063,SE,1,p/a,1
4,H,VP,Bassia prostrata,SB20063,SE,10,cover,8
4,H,VP,Bassia prostrata,SB20063,x,100,cover,6
4,H,VP,Bassia prostrata,SB20077,NW,10,cover,1.5
4,H,VP,Bassia prostrata,SB20077,SE,1,p/a,1
4,H,VP,Bassia prostrata,SB20077,SE,10,cover,1
4,H,VP,Bassia prostrata,SB20077,x,100,cover,1.25
4,H,VP,Bassia prostrata,SB20078,SE,1,p/a,1
4,H,VP,Bassia prostrata,SB20078,SE,10,cover,0.5
4,H,VP,Bassia prostrata,SB20078,x,100,cover,0.25
4,H,VP,Bassia prostrata,SB20079,SE,0.1,p/a,1
4,H,VP,Bassia prostrata,SB20079,SE,1,p/a,1
4,H,VP,Bassia prostrata,SB20079,SE,10,cover,6
4,H,VP,Bassia prostrata,SB20079,x,100,cover,3
4,H,VP,Bassia prostrata,SB20083,NW,0.01,p/a,1
4,H,VP,Bassia prostrata,SB20083,NW,0.1,p/a,1
4,H,VP,Bassia prostrata,SB20083,NW,1,p/a,1
4,H,VP,Bassia prostrata,SB20083,NW,10,cover,0.5
4,H,VP,Bassia prostrata,SB20083,SE,10,cover,0.1
4,H,VP,Bassia prostrata,SB20083,x,100,cover,0.3
4,H,VP,Bassia prostrata,SB20084,SE,10,cover,0.4
4,H,VP,Bassia prostrata,SB20084,x,100,cover,0.2
4,H,VP,Bassia prostrata,SB20100,NW,0.01,p/a,1
4,H,VP,Bassia prostrata,SB20100,NW,0.1,p/a,1
4,H,VP,Bassia prostrata,SB20100,NW,1,p/a,1
4,H,VP,Bassia prostrata,SB20100,NW,10,cover,5
4,H,VP,Bassia prostrata,SB20100,SE,10,cover,0.2
4,H,VP,Bassia prostrata,SB20100,x,100,cover,2.6
4,H,VP,Bassia prostrata,SB20102,x,100,cover,0.1
4,H,VP,Bassia prostrata,SB20103,x,100,cover,0.1
4,H,VP,Bellevalia speciosa,SB20100,NW,10,cover,0.05
4,H,VP,Bellevalia speciosa,SB20100,SE,0.01,p/a,1
4,H,VP,Bellevalia speciosa,SB20100,SE,0.1,p/a,1
4,H,VP,Bellevalia speciosa,SB20100,SE,1,p/a,1
4,H,VP,Bellevalia speciosa,SB20100,SE,10,cover,0.2
4,H,VP,Bellevalia speciosa,SB20100,x,100,cover,0.125
4,H,VP,Berteroa incana,SB20100,SE,10,cover,0.01
4,H,VP,Berteroa incana,SB20100,x,100,cover,0.005
4,H,VP,Bothriochloa ischaemum,SB20084,NW,10,cover,2
4,H,VP,Bothriochloa ischaemum,SB20084,SE,10,cover,0.3
4,H,VP,Bothriochloa ischaemum,SB20084,x,100,cover,1.15
4,H,VP,Bothriochloa ischaemum,SB20100,NW,1,p/a,1
4,H,VP,Bothriochloa ischaemum,SB20100,NW,10,cover,15
4,H,VP,Bothriochloa ischaemum,SB20100,x,100,cover,7.5
4,H,VP,Bothriochloa ischaemum,SB20102,x,100,cover,1
4,H,VP,Bothriochloa ischaemum,SB20103,NW,0.1,p/a,1
4,H,VP,Bothriochloa ischaemum,SB20103,NW,1,p/a,1
4,H,VP,Bothriochloa ischaemum,SB20103,NW,10,cover,2
4,H,VP,Bothriochloa ischaemum,SB20103,SE,1,p/a,1
4,H,VP,Bothriochloa ischaemum,SB20103,SE,10,cover,10
4,H,VP,Bothriochloa ischaemum,SB20103,x,100,cover,6
4,H,VP,Bothriochloa ischaemum,SB20104,NW,1,p/a,1
4,H,VP,Bothriochloa ischaemum,SB20104,NW,10,cover,8
4,H,VP,Bothriochloa ischaemum,SB20104,x,100,cover,4
4,H,VP,Bothriochloa ischaemum,SB20150,SE,10,cover,0.1
4,H,VP,Bothriochloa ischaemum,SB20150,x,100,cover,0.05
4,H,VP,Bothriochloa ischaemum,SB20169,SW,10,cover,0.5
4,H,VP,Bothriochloa ischaemum,SB20169,x,100,cover,0.25
4,H,VP,Bromopsis inermis,SB20084,NW,0.01,p/a,1
4,H,VP,Bromopsis inermis,SB20084,NW,0.1,p/a,1
4,H,VP,Bromopsis inermis,SB20084,NW,1,p/a,1
4,H,VP,Bromopsis inermis,SB20084,NW,10,cover,2
4,H,VP,Bromopsis inermis,SB20084,x,100,cover,1
4,H,VP,Bromopsis riparia,SB20084,NW,1,p/a,1
4,H,VP,Bromopsis riparia,SB20084,NW,10,cover,0.5
4,H,VP,Bromopsis riparia,SB20084,SE,10,cover,0.1
4,H,VP,Bromopsis riparia,SB20084,x,100,cover,0.3
4,H,VP,Bromopsis riparia,SB20101,NE,0.01,p/a,1
4,H,VP,Bromopsis riparia,SB20101,NE,0.1,p/a,1
4,H,VP,Bromopsis riparia,SB20101,NE,1,p/a,1
4,H,VP,Bromopsis riparia,SB20101,NE,10,cover,1
4,H,VP,Bromopsis riparia,SB20101,x,100,cover,0.5
