series,species,subplot,scale,response,value,Disturbance.Frequency,Disturbance.Severity
SB20172,bothriochloa ischaemum,x,100,cover,5.5,1.29563,0.50497
BS19013,bromus squarrosus,NW,10,cover,0.1,1.35671,0.56662
BS19013,bromus squarrosus,SE,10,cover,0.1,1.35671,0.56662
BS19013,bromus squarrosus,x,100,cover,0.1,1.35671,0.56662
SB20172,bromus squarrosus,NW,10,cover,0.1,1.35671,0.56662
SB20172,bromus squarrosus,x,100,cover,0.05,1.35671,0.56662
BS19005,calamagrostis epigejos,NW,1,p/a,1,0.59973,0.56375
BS19005,calamagrostis epigejos,NW,10,cover,5,0.59973,0.56375
BS19005,calamagrostis epigejos,SE,0.1,p/a,1,0.59973,0.56375
BS19005,calamagrostis epigejos,SE,1,p/a,1,0.59973,0.56375
BS19005,calamagrostis epigejos,SE,10,cover,1,0.59973,0.56375
BS19005,calamagrostis epigejos,x,100,cover,3,0.59973,0.56375
BS19032,calamagrostis epigejos,NW,0.1,p/a,1,0.59973,0.56375
BS19032,calamagrostis epigejos,NW,1,p/a,1,0.59973,0.56375
BS19032,calamagrostis epigejos,NW,10,cover,0.5,0.59973,0.56375
BS19032,calamagrostis epigejos,SE,0.1,p/a,1,0.59973,0.56375
BS19032,calamagrostis epigejos,SE,10,cover,2,0.59973,0.56375
BS19032,calamagrostis epigejos,x,100,cover,1.25,0.59973,0.56375
SB20178,calamagrostis epigejos,NW,10,cover,0.1,0.59973,0.56375
SB20178,calamagrostis epigejos,x,100,cover,0.05,0.59973,0.56375
SB20172,campanula rapunculus,x,100,cover,0.1,0.43381,0.59529
BS19005,carex colchica,NW,0.1,p/a,1,1.74912,0.37566
BS19005,carex colchica,NW,1,p/a,1,1.74912,0.37566
BS19005,carex colchica,NW,10,cover,3,1.74912,0.37566
BS19005,carex colchica,SE,1,p/a,1,1.74912,0.37566
BS19005,carex colchica,SE,10,cover,10,1.74912,0.37566
BS19005,carex colchica,x,100,cover,6.5,1.74912,0.37566
BS19023,carex colchica,NW,0.1,p/a,1,1.74912,0.37566
BS19023,carex colchica,NW,1,p/a,1,1.74912,0.37566
BS19023,carex colchica,NW,10,cover,5,1.74912,0.37566
BS19023,carex colchica,SE,1e-4,p/a,1,1.74912,0.37566
BS19023,carex colchica,SE,0.001,p/a,1,1.74912,0.37566
BS19023,carex colchica,SE,0.01,p/a,1,1.74912,0.37566
BS19023,carex colchica,SE,0.1,p/a,1,1.74912,0.37566
BS19023,carex colchica,SE,1,p/a,1,1.74912,0.37566
BS19023,carex colchica,SE,10,cover,30,1.74912,0.37566
BS19023,carex colchica,x,100,cover,17.5,1.74912,0.37566
BS19031,carex colchica,NW,1,p/a,1,1.74912,0.37566
BS19031,carex colchica,NW,10,cover,5,1.74912,0.37566
BS19031,carex colchica,SE,0.01,p/a,1,1.74912,0.37566
BS19031,carex colchica,SE,0.1,p/a,1,1.74912,0.37566
BS19031,carex colchica,SE,1,p/a,1,1.74912,0.37566
BS19031,carex colchica,SE,10,cover,5,1.74912,0.37566
BS19031,carex colchica,x,100,cover,5,1.74912,0.37566
BS19032,carex colchica,NW,0.01,p/a,1,1.74912,0.37566
BS19032,carex colchica,NW,0.1,p/a,1,1.74912,0.37566
BS19032,carex colchica,NW,1,p/a,1,1.74912,0.37566
BS19032,carex colchica,NW,10,cover,15,1.74912,0.37566
BS19032,carex colchica,SE,1e-4,p/a,1,1.74912,0.37566
BS19032,carex colchica,SE,0.001,p/a,1,1.74912,0.37566
BS19032,carex colchica,SE,0.01,p/a,1,1.74912,0.37566
BS19032,carex colchica,SE,0.1,p/a,1,1.74912,0.37566
BS19032,carex colchica,SE,1,p/a,1,1.74912,0.37566
BS19032,carex colchica,SE,10,cover,25,1.74912,0.37566
BS19032,carex colchica,x,100,cover,20,1.74912,0.37566
BS19048,carex colchica,NW,0.1,p/a,1,1.74912,0.37566
BS19048,carex colchica,NW,1,p/a,1,1.74912,0.37566
BS19048,carex colchica,NW,10,cover,0.3,1.74912,0.37566
BS19048,carex colchica,SE,10,cover,0.7,1.74912,0.37566
BS19048,carex colchica,x,100,cover,0.5,1.74912,0.37566
SB20178,carex colchica,NW,1,p/a,1,1.74912,0.37566
SB20178,carex colchica,NW,10,cover,1,1.74912,0.37566
SB20178,carex colchica,SE,0.01,p/a,1,1.74912,0.37566
SB20178,carex colchica,SE,0.1,p/a,1,1.74912,0.37566
SB20178,carex colchica,SE,1,p/a,1,1.74912,0.37566
SB20178,carex colchica,SE,10,cover,2,1.74912,0.37566
SB20178,carex colchica,x,100,cover,1.5,1.74912,0.37566
BS19013,carex supina,SE,10,cover,0.1,1.37349,0.49705
BS19013,carex supina,x,100,cover,0.05,1.37349,0.49705
BS19005,centaurea diffusa,SE,1,p/a,1,1.73464,0.58054
BS19005,centaurea diffusa,SE,10,cover,0.5,1.73464,0.58054
BS19005,centaurea diffusa,x,100,cover,0.25,1.73464,0.58054
BS19023,centaurea diffusa,x,100,cover,0.1,1.73464,0.58054
BS19023,centaurea margaritacea,SE,10,cover,1,NA,NA
BS19023,centaurea margaritacea,x,100,cover,0.5,NA,NA
SB20178,centaurea margaritalba,NW,1,p/a,1,NA,NA
SB20178,centaurea margaritalba,NW,10,cover,2,NA,NA
SB20178,centaurea margaritalba,SE,0.1,p/a,1,NA,NA
SB20178,centaurea margaritalba,SE,1,p/a,1,NA,NA
SB20178,centaurea margaritalba,SE,10,cover,5,NA,NA
SB20178,centaurea margaritalba,x,100,cover,3.5,NA,NA
BS19031,centaurea protomargaritacea,NW,1,p/a,1,NA,NA
BS19031,centaurea protomargaritacea,NW,10,cover,5,NA,NA
BS19031,centaurea protomargaritacea,SE,0.1,p/a,1,NA,NA
BS19031,centaurea protomargaritacea,SE,1,p/a,1,NA,NA
BS19031,centaurea protomargaritacea,SE,10,cover,4,NA,NA
BS19031,centaurea protomargaritacea,x,100,cover,4.5,NA,NA
BS19032,centaurea savranica,NW,0.1,p/a,1,NA,NA
BS19032,centaurea savranica,NW,1,p/a,1,NA,NA
BS19032,centaurea savranica,NW,10,cover,1,NA,NA
BS19032,centaurea savranica,SE,1,p/a,1,NA,NA
BS19032,centaurea savranica,SE,10,cover,1,NA,NA
BS19032,centaurea savranica,x,100,cover,1,NA,NA
BS19048,centaurea savranica,NW,10,cover,0.5,NA,NA
BS19048,centaurea savranica,x,100,cover,0.25,NA,NA
BS19023,centaurea scabiosa,NW,10,cover,0.2,1.14011,0.51296
BS19023,centaurea scabiosa,x,100,cover,0.1,1.14011,0.51296
BS19005,cerastium gracile,NW,10,cover,0.1,0.98392,0.4546
BS19005,cerastium gracile,x,100,cover,0.05,0.98392,0.4546
SB20178,cerastium gracile,NW,0.001,p/a,1,0.98392,0.4546
SB20178,cerastium gracile,NW,0.01,p/a,1,0.98392,0.4546
SB20178,cerastium gracile,NW,0.1,p/a,1,0.98392,0.4546
SB20178,cerastium gracile,NW,1,p/a,1,0.98392,0.4546
SB20178,cerastium gracile,NW,10,cover,0.001,0.98392,0.4546
SB20178,cerastium gracile,SE,1,p/a,1,0.98392,0.4546
SB20178,cerastium gracile,SE,10,cover,0.1,0.98392,0.4546
SB20178,cerastium gracile,x,100,cover,0.0505,0.98392,0.4546
BS19023,cerastium semidecandrum,NW,0.1,p/a,1,1.39189,0.46249
BS19023,cerastium semidecandrum,NW,1,p/a,1,1.39189,0.46249
BS19023,cerastium semidecandrum,NW,10,cover,0.05,1.39189,0.46249
BS19023,cerastium semidecandrum,SE,0.01,p/a,1,1.39189,0.46249
BS19023,cerastium semidecandrum,SE,0.1,p/a,1,1.39189,0.46249
BS19023,cerastium semidecandrum,SE,1,p/a,1,1.39189,0.46249
BS19023,cerastium semidecandrum,SE,10,cover,0.7,1.39189,0.46249
BS19023,cerastium semidecandrum,x,100,cover,0.375,1.39189,0.46249
BS19031,cerastium semidecandrum,NW,1,p/a,1,1.39189,0.46249
BS19031,cerastium semidecandrum,NW,10,cover,0.1,1.39189,0.46249
BS19031,cerastium semidecandrum,x,100,cover,0.05,1.39189,0.46249
SB20152,cerastium semidecandrum,NW,1,p/a,1,1.39189,0.46249
SB20152,cerastium semidecandrum,NW,10,cover,0.1,1.39189,0.46249
SB20152,cerastium semidecandrum,SE,1,p/a,1,1.39189,0.46249
SB20152,cerastium semidecandrum,SE,10,cover,0.001,1.39189,0.46249
SB20152,cerastium semidecandrum,x,100,cover,0.0505,1.39189,0.46249
SB20172,cerastium semidecandrum,NW,0.1,p/a,1,1.39189,0.46249
SB20172,cerastium semidecandrum,NW,1,p/a,1,1.39189,0.46249
SB20172,cerastium semidecandrum,NW,10,cover,0.01,1.39189,0.46249
SB20172,cerastium semidecandrum,SE,0.1,p/a,1,1.39189,0.46249
SB20172,cerastium semidecandrum,SE,1,p/a,1,1.39189,0.46249
SB20172,cerastium semidecandrum,SE,10,cover,2,1.39189,0.46249
SB20172,cerastium semidecandrum,x,100,cover,1.005,1.39189,0.46249
SB20152,chenopodium album,NW,10,cover,0.05,1.56171,0.82402
SB20152,chenopodium album,SE,10,cover,0.01,1.56171,0.82402
SB20152,chenopodium album,x,100,cover,0.03,1.56171,0.82402
SB20178,chenopodium album,x,100,cover,0.1,1.56171,0.82402
BS19005,chondrilla juncea,NW,1,p/a,1,1.60972,0.59887
BS19005,chondrilla juncea,NW,10,cover,0.1,1.60972,0.59887
BS19005,chondrilla juncea,SE,1,p/a,1,1.60972,0.59887
BS19005,chondrilla juncea,SE,10,cover,0.3,1.60972,0.59887
BS19005,chondrilla juncea,x,100,cover,0.2,1.60972,0.59887
BS19023,chondrilla juncea,SE,10,cover,0.1,1.60972,0.59887
BS19023,chondrilla juncea,x,100,cover,0.05,1.60972,0.59887
BS19032,chondrilla juncea,SE,0.1,p/a,1,1.60972,0.59887
BS19032,chondrilla juncea,SE,1,p/a,1,1.60972,0.59887
BS19032,chondrilla juncea,SE,10,cover,0.5,1.60972,0.59887
BS19032,chondrilla juncea,x,100,cover,0.25,1.60972,0.59887
BS19048,chondrilla juncea,NW,10,cover,0.1,1.60972,0.59887
BS19048,chondrilla juncea,x,100,cover,0.05,1.60972,0.59887
SB20152,chondrilla juncea,NW,10,cover,0.5,1.60972,0.59887
SB20152,chondrilla juncea,x,100,cover,0.25,1.60972,0.59887
SB20172,chondrilla juncea,x,100,cover,0.1,1.60972,0.59887
SB20178,chondrilla juncea,x,100,cover,0.1,1.60972,0.59887
BS19013,cleistogenes serotina,SE,10,cover,0.1,1.09357,0.4866
BS19013,cleistogenes serotina,x,100,cover,0.05,1.09357,0.4866
SB20172,cleistogenes serotina,NW,0.01,p/a,1,1.09357,0.4866
SB20172,cleistogenes serotina,NW,0.1,p/a,1,1.09357,0.4866
SB20172,cleistogenes serotina,NW,1,p/a,1,1.09357,0.4866
SB20172,cleistogenes serotina,NW,10,cover,0.5,1.09357,0.4866
SB20172,cleistogenes serotina,SE,0.1,p/a,1,1.09357,0.4866
SB20172,cleistogenes serotina,SE,1,p/a,1,1.09357,0.4866
SB20172,cleistogenes serotina,SE,10,cover,0.3,1.09357,0.4866
SB20172,cleistogenes serotina,x,100,cover,0.4,1.09357,0.4866
BS19023,cynodon dactylon,NW,0.01,p/a,1,1.49629,0.65056
BS19023,cynodon dactylon,NW,0.1,p/a,1,1.49629,0.65056
BS19023,cynodon dactylon,NW,1,p/a,1,1.49629,0.65056
BS19023,cynodon dactylon,NW,10,cover,45,1.49629,0.65056
BS19023,cynodon dactylon,SE,0.1,p/a,1,1.49629,0.65056
BS19023,cynodon dactylon,SE,1,p/a,1,1.49629,0.65056
BS19023,cynodon dactylon,SE,10,cover,0.3,1.49629,0.65056
BS19023,cynodon dactylon,x,100,cover,22.65,1.49629,0.65056
BS19048,cynodon dactylon,SE,10,cover,0.2,1.49629,0.65056
BS19048,cynodon dactylon,x,100,cover,0.1,1.49629,0.65056
BS19005,cytisus borysthenicus,NW,10,cover,3,1.50431,0.36071
BS19005,cytisus borysthenicus,SE,0.01,p/a,1,1.50431,0.36071
BS19005,cytisus borysthenicus,SE,0.1,p/a,1,1.50431,0.36071
BS19005,cytisus borysthenicus,SE,1,p/a,1,1.50431,0.36071
BS19005,cytisus borysthenicus,SE,10,cover,2.3,1.50431,0.36071
BS19005,cytisus borysthenicus,x,100,cover,2.65,1.50431,0.36071
BS19031,cytisus borysthenicus,x,100,cover,0.1,1.50431,0.36071
SB20178,cytisus borysthenicus,NW,0.1,p/a,1,1.50431,0.36071
SB20178,cytisus borysthenicus,NW,1,p/a,1,1.50431,0.36071
SB20178,cytisus borysthenicus,NW,10,cover,5,1.50431,0.36071
SB20178,cytisus borysthenicus,x,100,cover,2.5,1.50431,0.36071
SB20172,dianthus polymorphus,SE,1,p/a,1,1.76002,0.35472
SB20172,dianthus polymorphus,SE,10,cover,0.5,1.76002,0.35472
SB20172,dianthus polymorphus,x,100,cover,0.25,1.76002,0.35472
SB20178,dianthus polymorphus,x,100,cover,0.1,1.76002,0.35472
BS19005,erophila verna,SE,0.1,p/a,1,1.58041,0.56066
BS19005,erophila verna,SE,1,p/a,1,1.58041,0.56066
BS19005,erophila verna,SE,10,cover,0.001,1.58041,0.56066
BS19005,erophila verna,x,100,cover,5e-4,1.58041,0.56066
SB20172,erophila verna,NW,1,p/a,1,1.58041,0.56066
SB20172,erophila verna,NW,10,cover,0.001,1.58041,0.56066
SB20172,erophila verna,SE,0.1,p/a,1,1.58041,0.56066
SB20172,erophila verna,SE,1,p/a,1,1.58041,0.56066
SB20172,erophila verna,SE,10,cover,0.001,1.58041,0.56066
SB20172,erophila verna,x,100,cover,0.001,1.58041,0.56066
SB20172,echinops ritro,NW,10,cover,0.2,0.53281,0.58131
SB20172,echinops ritro,SE,10,cover,2,0.53281,0.58131
SB20172,echinops ritro,x,100,cover,1.1,0.53281,0.58131
SB20152,eragrostis minor,NW,0.001,p/a,1,2.10476,0.82708
SB20152,eragrostis minor,NW,0.01,p/a,1,2.10476,0.82708
SB20152,eragrostis minor,NW,0.1,p/a,1,2.10476,0.82708
SB20152,eragrostis minor,NW,1,p/a,1,2.10476,0.82708
SB20152,eragrostis minor,NW,10,cover,7,2.10476,0.82708
SB20152,eragrostis minor,SE,0.1,p/a,1,2.10476,0.82708
SB20152,eragrostis minor,SE,1,p/a,1,2.10476,0.82708
SB20152,eragrostis minor,SE,10,cover,0.3,2.10476,0.82708
SB20152,eragrostis minor,x,100,cover,3.65,2.10476,0.82708
BS19023,erigeron canadensis,NW,10,cover,0.1,1.29546,0.71321
BS19023,erigeron canadensis,x,100,cover,0.05,1.29546,0.71321
BS19031,erigeron canadensis,x,100,cover,0.1,1.29546,0.71321
BS19048,erigeron canadensis,SE,1,p/a,1,1.29546,0.71321
BS19048,erigeron canadensis,SE,10,cover,0.5,1.29546,0.71321
BS19048,erigeron canadensis,x,100,cover,0.25,1.29546,0.71321
SB20178,erigeron canadensis,x,100,cover,0.1,1.29546,0.71321
BS19005,eryngium campestre,NW,1,p/a,1,1.09401,0.54854
BS19005,eryngium campestre,NW,10,cover,0.1,1.09401,0.54854
BS19005,eryngium campestre,x,100,cover,0.05,1.09401,0.54854
BS19013,eryngium campestre,SE,10,cover,0.2,1.09401,0.54854
BS19013,eryngium campestre,x,100,cover,0.1,1.09401,0.54854
BS19023,eryngium campestre,x,100,cover,0.1,1.09401,0.54854
SB20172,eryngium campestre,NW,10,cover,0.5,1.09401,0.54854
SB20172,eryngium campestre,SE,10,cover,0.05,1.09401,0.54854
SB20172,eryngium campestre,x,100,cover,0.275,1.09401,0.54854
BS19023,erysimum diffusum,x,100,cover,0.1,1.39513,0.50976
SB20172,erysimum diffusum,NW,10,cover,0.2,1.39513,0.50976
SB20172,erysimum diffusum,x,100,cover,0.1,1.39513,0.50976
BS19013,euphorbia agraria,x,100,cover,0.1,0.97121,0.546
BS19005,euphorbia seguieriana,NW,10,cover,0.1,1.34188,0.47346
BS19005,euphorbia seguieriana,x,100,cover,0.05,1.34188,0.47346
BS19013,euphorbia seguieriana,SE,0.1,p/a,1,1.34188,0.47346
BS19013,euphorbia seguieriana,SE,1,p/a,1,1.34188,0.47346
BS19013,euphorbia seguieriana,SE,10,cover,0.1,1.34188,0.47346
BS19013,euphorbia seguieriana,x,100,cover,0.05,1.34188,0.47346
BS19023,euphorbia seguieriana,NW,0.1,p/a,1,1.34188,0.47346
BS19023,euphorbia seguieriana,NW,1,p/a,1,1.34188,0.47346
BS19023,euphorbia seguieriana,NW,10,cover,4,1.34188,0.47346
BS19023,euphorbia seguieriana,SE,0.1,p/a,1,1.34188,0.47346
BS19023,euphorbia seguieriana,SE,1,p/a,1,1.34188,0.47346
BS19023,euphorbia seguieriana,SE,10,cover,10,1.34188,0.47346
BS19023,euphorbia seguieriana,x,100,cover,7,1.34188,0.47346
BS19032,euphorbia seguieriana,NW,1,p/a,1,1.34188,0.47346
BS19032,euphorbia seguieriana,NW,10,cover,0.3,1.34188,0.47346
BS19032,euphorbia seguieriana,x,100,cover,0.15,1.34188,0.47346
SB20172,euphorbia seguieriana,NW,10,cover,0.1,1.34188,0.47346
SB20172,euphorbia seguieriana,SE,1,p/a,1,1.34188,0.47346
SB20172,euphorbia seguieriana,SE,10,cover,2,1.34188,0.47346
SB20172,euphorbia seguieriana,x,100,cover,1.05,1.34188,0.47346
SB20178,euphorbia seguieriana,NW,10,cover,0.5,1.34188,0.47346
SB20178,euphorbia seguieriana,SE,1,p/a,1,1.34188,0.47346
SB20178,euphorbia seguieriana,SE,10,cover,0.25,1.34188,0.47346
SB20178,euphorbia seguieriana,x,100,cover,0.375,1.34188,0.47346
SB20172,falcaria vulgaris,x,100,cover,0.1,1.47414,0.58061
SB20172,ferulago galbanifera,x,100,cover,0.1,0.55346,0.54333
BS19048,festuca beckeri,NW,0.01,p/a,1,1.29123,0.38361
BS19048,festuca beckeri,NW,0.1,p/a,1,1.29123,0.38361
BS19048,festuca beckeri,NW,1,p/a,1,1.29123,0.38361
BS19048,festuca beckeri,NW,10,cover,25,1.29123,0.38361
BS19048,festuca beckeri,SE,1e-4,p/a,1,1.29123,0.38361
BS19048,festuca beckeri,SE,0.001,p/a,1,1.29123,0.38361
BS19048,festuca beckeri,SE,0.01,p/a,1,1.29123,0.38361
BS19048,festuca beckeri,SE,0.1,p/a,1,1.29123,0.38361
BS19048,festuca beckeri,SE,1,p/a,1,1.29123,0.38361
BS19048,festuca beckeri,SE,10,cover,30,1.29123,0.38361
BS19048,festuca beckeri,x,100,cover,27.5,1.29123,0.38361
SB20178,festuca beckeri,NW,0.01,p/a,1,1.29123,0.38361
SB20178,festuca beckeri,NW,0.1,p/a,1,1.29123,0.38361
SB20178,festuca beckeri,NW,1,p/a,1,1.29123,0.38361
SB20178,festuca beckeri,NW,10,cover,38,1.29123,0.38361
SB20178,festuca beckeri,SE,1e-4,p/a,1,1.29123,0.38361
SB20178,festuca beckeri,SE,0.001,p/a,1,1.29123,0.38361
SB20178,festuca beckeri,SE,0.01,p/a,1,1.29123,0.38361
SB20178,festuca beckeri,SE,0.1,p/a,1,1.29123,0.38361
SB20178,festuca beckeri,SE,1,p/a,1,1.29123,0.38361
SB20178,festuca beckeri,SE,10,cover,30,1.29123,0.38361
SB20178,festuca beckeri,x,100,cover,34,1.29123,0.38361
BS19013,festuca rupicola,NW,0.1,p/a,1,1.27572,0.364
BS19013,festuca rupicola,NW,1,p/a,1,1.27572,0.364
BS19013,festuca rupicola,NW,10,cover,17,1.27572,0.364
BS19013,festuca rupicola,SE,0.001,p/a,1,1.27572,0.364
BS19013,festuca rupicola,SE,0.01,p/a,1,1.27572,0.364
BS19013,festuca rupicola,SE,0.1,p/a,1,1.27572,0.364
BS19013,festuca rupicola,SE,1,p/a,1,1.27572,0.364
BS19013,festuca rupicola,SE,10,cover,20,1.27572,0.364
BS19013,festuca rupicola,x,100,cover,18.5,1.27572,0.364
BS19005,filago arvensis,NW,1,p/a,1,1.32125,0.5729
BS19005,filago arvensis,NW,10,cover,0.05,1.32125,0.5729
BS19005,filago arvensis,SE,1,p/a,1,1.32125,0.5729
BS19005,filago arvensis,SE,10,cover,0.2,1.32125,0.5729
BS19005,filago arvensis,x,100,cover,0.125,1.32125,0.5729
SB20172,galatella villosa,x,100,cover,0.1,1.94731,0.48816
BS19013,galium verum,NW,10,cover,0.2,1.19593,0.50155
BS19013,galium verum,SE,1e-4,p/a,1,1.19593,0.50155
BS19013,galium verum,SE,0.001,p/a,1,1.19593,0.50155
BS19013,galium verum,SE,0.01,p/a,1,1.19593,0.50155
BS19013,galium verum,SE,0.1,p/a,1,1.19593,0.50155
BS19013,galium verum,SE,1,p/a,1,1.19593,0.50155
BS19013,galium verum,SE,10,cover,15,1.19593,0.50155
BS19013,galium verum,x,100,cover,7.6,1.19593,0.50155
SB20172,galium verum,NW,1,p/a,1,1.19593,0.50155
SB20172,galium verum,NW,10,cover,3,1.19593,0.50155
SB20172,galium verum,SE,0.1,p/a,1,1.19593,0.50155
SB20172,galium verum,SE,1,p/a,1,1.19593,0.50155
SB20172,galium verum,SE,10,cover,12,1.19593,0.50155
SB20172,galium verum,x,100,cover,7.5,1.19593,0.50155
BS19005,grindelia squarrosa,NW,0.01,p/a,1,2.09299,0.64
BS19005,grindelia squarrosa,NW,0.1,p/a,1,2.09299,0.64
BS19005,grindelia squarrosa,NW,1,p/a,1,2.09299,0.64
BS19005,grindelia squarrosa,NW,10,cover,0.5,2.09299,0.64
BS19005,grindelia squarrosa,SE,1,p/a,1,2.09299,0.64
BS19005,grindelia squarrosa,SE,10,cover,2,2.09299,0.64
BS19005,grindelia squarrosa,x,100,cover,1.25,2.09299,0.64
BS19005,gypsophila paniculata,SE,10,cover,2,1.21035,0.49586
BS19005,gypsophila paniculata,x,100,cover,1,1.21035,0.49586
BS19013,gypsophila paniculata,SE,10,cover,0.3,1.21035,0.49586
BS19013,gypsophila paniculata,x,100,cover,0.15,1.21035,0.49586
BS19023,gypsophila paniculata,NW,10,cover,1,1.21035,0.49586
BS19023,gypsophila paniculata,SE,10,cover,0.3,1.21035,0.49586
BS19023,gypsophila paniculata,x,100,cover,0.65,1.21035,0.49586
SB20152,gypsophila paniculata,NW,1,p/a,1,1.21035,0.49586
SB20152,gypsophila paniculata,NW,10,cover,0.1,1.21035,0.49586
SB20152,gypsophila paniculata,SE,10,cover,0.2,1.21035,0.49586
SB20152,gypsophila paniculata,x,100,cover,0.15,1.21035,0.49586
SB20172,gypsophila paniculata,NW,10,cover,3,1.21035,0.49586
SB20172,gypsophila paniculata,SE,10,cover,3,1.21035,0.49586
SB20172,gypsophila paniculata,x,100,cover,3,1.21035,0.49586
BS19013,helichrysum arenarium,NW,10,cover,0.3,1.34967,0.42314
BS19013,helichrysum arenarium,x,100,cover,0.15,1.34967,0.42314
BS19023,helichrysum arenarium,SE,0.1,p/a,1,1.34967,0.42314
BS19023,helichrysum arenarium,SE,1,p/a,1,1.34967,0.42314
BS19023,helichrysum arenarium,SE,10,cover,2,1.34967,0.42314
BS19023,helichrysum arenarium,x,100,cover,1,1.34967,0.42314
SB20152,helichrysum arenarium,NW,10,cover,0.2,1.34967,0.42314
SB20152,helichrysum arenarium,SE,10,cover,0.1,1.34967,0.42314
SB20152,helichrysum arenarium,x,100,cover,0.15,1.34967,0.42314
SB20172,helichrysum arenarium,x,100,cover,0.1,1.34967,0.42314
SB20178,helichrysum arenarium,NW,0.1,p/a,1,1.34967,0.42314
SB20178,helichrysum arenarium,NW,1,p/a,1,1.34967,0.42314
SB20178,helichrysum arenarium,NW,10,cover,0.7,1.34967,0.42314
SB20178,helichrysum arenarium,SE,0.1,p/a,1,1.34967,0.42314
SB20178,helichrysum arenarium,SE,1,p/a,1,1.34967,0.42314
SB20178,helichrysum arenarium,SE,10,cover,1.5,1.34967,0.42314
SB20178,helichrysum arenarium,x,100,cover,1.1,1.34967,0.42314
BS19005,helichrysum arenarium,NW,10,cover,0.1,1.34967,0.42314
BS19005,helichrysum arenarium,SE,10,cover,1,1.34967,0.42314
BS19005,helichrysum arenarium,x,100,cover,0.55,1.34967,0.42314
BS19031,helichrysum arenarium,NW,0.1,p/a,1,1.34967,0.42314
BS19031,helichrysum arenarium,NW,1,p/a,1,1.34967,0.42314
BS19031,helichrysum arenarium,NW,10,cover,7,1.34967,0.42314
BS19031,helichrysum arenarium,SE,10,cover,1,1.34967,0.42314
BS19031,helichrysum arenarium,x,100,cover,4,1.34967,0.42314
BS19048,hieracium umbellatum,x,100,cover,0.1,0.42543,0.55371
SB20172,hieracium umbellatum,SE,10,cover,0.1,0.42543,0.55371
SB20172,hieracium umbellatum,x,100,cover,0.05,0.42543,0.55371
SB20178,hieracium umbellatum,x,100,cover,0.1,0.42543,0.55371
BS19005,holosteum umbellatum,NW,10,cover,0.01,1.62797,0.59767
BS19005,holosteum umbellatum,x,100,cover,0.005,1.62797,0.59767
SB20152,holosteum umbellatum,NW,10,cover,0.01,1.62797,0.59767
SB20152,holosteum umbellatum,SE,0.01,p/a,1,1.62797,0.59767
SB20152,holosteum umbellatum,SE,0.1,p/a,1,1.62797,0.59767
SB20152,holosteum umbellatum,SE,1,p/a,1,1.62797,0.59767
SB20152,holosteum umbellatum,SE,10,cover,0.001,1.62797,0.59767
SB20152,holosteum umbellatum,x,100,cover,0.0055,1.62797,0.59767
SB20172,holosteum umbellatum,NW,0.1,p/a,1,1.62797,0.59767
SB20172,holosteum umbellatum,NW,1,p/a,1,1.62797,0.59767
SB20172,holosteum umbellatum,NW,10,cover,0.01,1.62797,0.59767
SB20172,holosteum umbellatum,SE,10,cover,0.001,1.62797,0.59767
SB20172,holosteum umbellatum,x,100,cover,0.0055,1.62797,0.59767
SB20178,holosteum umbellatum,NW,1,p/a,1,1.62797,0.59767
SB20178,holosteum umbellatum,NW,10,cover,0.001,1.62797,0.59767
SB20178,holosteum umbellatum,SE,0.1,p/a,1,1.62797,0.59767
SB20178,holosteum umbellatum,SE,1,p/a,1,1.62797,0.59767
SB20178,holosteum umbellatum,SE,10,cover,0.01,1.62797,0.59767
SB20178,holosteum umbellatum,x,100,cover,0.0055,1.62797,0.59767
SB20172,sedum maximum,SE,1,p/a,1,0.2726,0.59745
SB20172,sedum maximum,SE,10,cover,1,0.2726,0.59745
SB20172,sedum maximum,x,100,cover,0.5,0.2726,0.59745
SB20172,hypericum perforatum,NW,1,p/a,1,0.65189,0.55903
SB20172,hypericum perforatum,NW,10,cover,0.2,0.65189,0.55903
SB20172,hypericum perforatum,x,100,cover,0.1,0.65189,0.55903
SB20172,jacobaea schischkiniana,NW,10,cover,0.1,NA,NA
SB20172,jacobaea schischkiniana,x,100,cover,0.05,NA,NA
BS19013,jurinea cyanoides,NW,10,cover,1,1.27449,0.41689
BS19013,jurinea cyanoides,x,100,cover,0.5,1.27449,0.41689
BS19023,jurinea cyanoides,SE,0.1,p/a,1,1.27449,0.41689
BS19023,jurinea cyanoides,SE,1,p/a,1,1.27449,0.41689
BS19023,jurinea cyanoides,SE,10,cover,0.2,1.27449,0.41689
BS19023,jurinea cyanoides,x,100,cover,0.1,1.27449,0.41689
BS19032,jurinea cyanoides,x,100,cover,0.1,1.27449,0.41689
SB20172,jurinea cyanoides,x,100,cover,0.1,1.27449,0.41689
SB20178,koeleria glauca,NW,1,p/a,1,0.87306,0.41835
SB20178,koeleria glauca,NW,10,cover,3,0.87306,0.41835
SB20178,koeleria glauca,x,100,cover,1.5,0.87306,0.41835
SB20172,petrorhagia prolifera,SE,10,cover,0.01,1.40195,0.55527
SB20172,petrorhagia prolifera,x,100,cover,0.005,1.40195,0.55527
BS19013,lamium amplexicaule,SE,10,cover,0.1,1.64432,0.82332
BS19013,lamium amplexicaule,x,100,cover,0.05,1.64432,0.82332
SB20172,lamium amplexicaule,NW,0.1,p/a,1,1.64432,0.82332
