series,species,subplot,scale,response,value
RZ2219,erigeron annuus,x,100,cover,0.005
RZ2214,eryngium campestre,NW,1,p/a,1
RZ2214,eryngium campestre,NW,10,cover,1
RZ2214,eryngium campestre,SE,1,p/a,1
RZ2214,eryngium campestre,SE,10,cover,4
RZ2214,eryngium campestre,x,100,cover,2.5
RZ2215,eryngium campestre,NW,0.01,p/a,1
RZ2215,eryngium campestre,NW,0.1,p/a,1
RZ2215,eryngium campestre,NW,1,p/a,1
RZ2215,eryngium campestre,NW,10,cover,3
RZ2215,eryngium campestre,SE,0.1,p/a,1
RZ2215,eryngium campestre,SE,1,p/a,1
RZ2215,eryngium campestre,SE,10,cover,1
RZ2215,eryngium campestre,x,100,cover,2
RZ2216,eryngium campestre,NW,10,cover,2
RZ2216,eryngium campestre,SE,1,p/a,1
RZ2216,eryngium campestre,SE,10,cover,0.5
RZ2216,eryngium campestre,x,100,cover,1.25
RZ2217,eryngium campestre,x,100,cover,0.1
RZ2219,eryngium campestre,SE,0.1,p/a,1
RZ2219,eryngium campestre,SE,1,p/a,1
RZ2219,eryngium campestre,SE,10,cover,1
RZ2219,eryngium campestre,x,100,cover,0.5
RZ2217,euphorbia cyparissias,NW,1,p/a,1
RZ2217,euphorbia cyparissias,NW,10,cover,0.5
RZ2217,euphorbia cyparissias,x,100,cover,0.25
RZ2214,euphorbia esula,NW,1,p/a,1
RZ2214,euphorbia esula,NW,10,cover,0.1
RZ2214,euphorbia esula,x,100,cover,0.05
RZ2215,euphorbia esula,NW,10,cover,0.01
RZ2215,euphorbia esula,x,100,cover,0.005
RZ2216,euphorbia esula,NW,10,cover,0.5
RZ2216,euphorbia esula,SE,1,p/a,1
RZ2216,euphorbia esula,SE,10,cover,2
RZ2216,euphorbia esula,x,100,cover,1.25
RZ2219,euphorbia esula,NW,10,cover,0.5
RZ2219,euphorbia esula,SE,1,p/a,1
RZ2219,euphorbia esula,SE,10,cover,0.01
RZ2219,euphorbia esula,x,100,cover,0.255
RZ2214,falcaria vulgaris,SE,10,cover,0.1
RZ2214,falcaria vulgaris,x,100,cover,0.05
RZ2215,falcaria vulgaris,SE,10,cover,0.01
RZ2215,falcaria vulgaris,x,100,cover,0.005
RZ2216,falcaria vulgaris,NW,10,cover,0.2
RZ2216,falcaria vulgaris,SE,0.001,p/a,1
RZ2216,falcaria vulgaris,SE,0.01,p/a,1
RZ2216,falcaria vulgaris,SE,0.1,p/a,1
RZ2216,falcaria vulgaris,SE,1,p/a,1
RZ2216,falcaria vulgaris,SE,10,cover,0.1
RZ2216,falcaria vulgaris,x,100,cover,0.15
RZ2218,falcaria vulgaris,NW,10,cover,0.1
RZ2218,falcaria vulgaris,x,100,cover,0.05
RZ2219,falcaria vulgaris,SE,1,p/a,1
RZ2219,falcaria vulgaris,SE,10,cover,1
RZ2219,falcaria vulgaris,x,100,cover,0.5
RZ2215,festuca rupicola,x,100,cover,0.1
RZ2219,festuca rupicola,SE,10,cover,1
RZ2219,festuca rupicola,x,100,cover,0.5
RZ2214,festuca valesiaca,NW,1,p/a,1
RZ2214,festuca valesiaca,NW,10,cover,2
RZ2214,festuca valesiaca,SE,1,p/a,1
RZ2214,festuca valesiaca,SE,10,cover,15
RZ2214,festuca valesiaca,x,100,cover,8.5
RZ2215,festuca valesiaca,NW,1e-4,p/a,1
RZ2215,festuca valesiaca,NW,0.001,p/a,1
RZ2215,festuca valesiaca,NW,0.01,p/a,1
RZ2215,festuca valesiaca,NW,0.1,p/a,1
RZ2215,festuca valesiaca,NW,1,p/a,1
RZ2215,festuca valesiaca,NW,10,cover,7
RZ2215,festuca valesiaca,SE,0.1,p/a,1
RZ2215,festuca valesiaca,SE,1,p/a,1
RZ2215,festuca valesiaca,SE,10,cover,10
RZ2215,festuca valesiaca,x,100,cover,8.5
RZ2216,festuca valesiaca,NW,1,p/a,1
RZ2216,festuca valesiaca,NW,10,cover,1
RZ2216,festuca valesiaca,x,100,cover,0.5
RZ2217,festuca valesiaca,NW,10,cover,3
RZ2217,festuca valesiaca,SE,1,p/a,1
RZ2217,festuca valesiaca,SE,10,cover,5
RZ2217,festuca valesiaca,x,100,cover,4
RZ2218,festuca valesiaca,NW,10,cover,1
RZ2218,festuca valesiaca,SE,1,p/a,1
RZ2218,festuca valesiaca,SE,10,cover,5
RZ2218,festuca valesiaca,x,100,cover,3
RZ2219,festuca valesiaca,NW,10,cover,2
RZ2219,festuca valesiaca,SE,1,p/a,1
RZ2219,festuca valesiaca,SE,10,cover,3
RZ2219,festuca valesiaca,x,100,cover,2.5
RZ2218,galatella linosyris,NW,10,cover,1
RZ2218,galatella linosyris,SE,1,p/a,1
RZ2218,galatella linosyris,SE,10,cover,0.1
RZ2218,galatella linosyris,x,100,cover,0.1
RZ2218,galium aparine,x,100,cover,0.1
RZ2214,galium verum,NW,0.01,p/a,1
RZ2214,galium verum,NW,0.1,p/a,1
RZ2214,galium verum,NW,1,p/a,1
RZ2214,galium verum,NW,10,cover,10
RZ2214,galium verum,SE,0.1,p/a,1
RZ2214,galium verum,SE,1,p/a,1
RZ2214,galium verum,SE,10,cover,3
RZ2214,galium verum,x,100,cover,6.5
RZ2215,galium verum,NW,1,p/a,1
RZ2215,galium verum,NW,10,cover,3
RZ2215,galium verum,SE,0.1,p/a,1
RZ2215,galium verum,SE,1,p/a,1
RZ2215,galium verum,SE,10,cover,0.5
RZ2215,galium verum,x,100,cover,1.75
RZ2216,galium verum,NW,0.01,p/a,1
RZ2216,galium verum,NW,0.1,p/a,1
RZ2216,galium verum,NW,1,p/a,1
RZ2216,galium verum,NW,10,cover,2
RZ2216,galium verum,SE,0.1,p/a,1
RZ2216,galium verum,SE,1,p/a,1
RZ2216,galium verum,SE,10,cover,1
RZ2216,galium verum,x,100,cover,1.5
RZ2217,galium verum,NW,0.1,p/a,1
RZ2217,galium verum,NW,1,p/a,1
RZ2217,galium verum,NW,10,cover,2
RZ2217,galium verum,SE,1e-4,p/a,1
RZ2217,galium verum,SE,0.001,p/a,1
RZ2217,galium verum,SE,0.01,p/a,1
RZ2217,galium verum,SE,0.1,p/a,1
RZ2217,galium verum,SE,1,p/a,1
RZ2217,galium verum,SE,10,cover,5
RZ2217,galium verum,x,100,cover,3.5
RZ2218,galium verum,NW,1,p/a,1
RZ2218,galium verum,NW,10,cover,2
RZ2218,galium verum,SE,1e-4,p/a,1
RZ2218,galium verum,SE,0.001,p/a,1
RZ2218,galium verum,SE,0.01,p/a,1
RZ2218,galium verum,SE,0.1,p/a,1
RZ2218,galium verum,SE,1,p/a,1
RZ2218,galium verum,SE,10,cover,2
RZ2218,galium verum,x,100,cover,2
RZ2219,galium verum,NW,0.1,p/a,1
RZ2219,galium verum,NW,1,p/a,1
RZ2219,galium verum,NW,10,cover,0.5
RZ2219,galium verum,SE,0.1,p/a,1
RZ2219,galium verum,SE,1,p/a,1
RZ2219,galium verum,SE,10,cover,1
RZ2219,galium verum,x,100,cover,0.75
RZ2214,genista tinctoria,NW,10,cover,0.1
RZ2214,genista tinctoria,x,100,cover,0.05
RZ2215,genista tinctoria,NW,10,cover,0.5
RZ2215,genista tinctoria,SE,10,cover,0.1
RZ2215,genista tinctoria,x,100,cover,0.3
RZ2216,genista tinctoria,SE,1,p/a,1
RZ2216,genista tinctoria,SE,10,cover,0.5
RZ2216,genista tinctoria,x,100,cover,0.25
RZ2218,genista tinctoria,NW,10,cover,0.5
RZ2218,genista tinctoria,SE,10,cover,0.1
RZ2218,genista tinctoria,x,100,cover,0.3
RZ2219,genista tinctoria,NW,1,p/a,1
RZ2219,genista tinctoria,NW,10,cover,0.5
RZ2219,genista tinctoria,SE,0.01,p/a,1
RZ2219,genista tinctoria,SE,0.1,p/a,1
RZ2219,genista tinctoria,SE,1,p/a,1
RZ2219,genista tinctoria,SE,10,cover,1
RZ2219,genista tinctoria,x,100,cover,0.75
RZ2216,gypsophila paniculata,x,100,cover,0.1
RZ2219,gypsophila paniculata,SE,0.01,p/a,1
RZ2219,gypsophila paniculata,SE,0.1,p/a,1
RZ2219,gypsophila paniculata,SE,1,p/a,1
RZ2219,gypsophila paniculata,SE,10,cover,1
RZ2219,gypsophila paniculata,x,100,cover,0.5
RZ2219,helichrysum arenarium,NW,10,cover,0.5
RZ2219,helichrysum arenarium,x,100,cover,0.25
RZ2218,hieracium umbellatum,NW,0.001,p/a,1
RZ2218,hieracium umbellatum,NW,0.01,p/a,1
RZ2218,hieracium umbellatum,NW,0.1,p/a,1
RZ2218,hieracium umbellatum,NW,1,p/a,1
RZ2218,hieracium umbellatum,NW,10,cover,1
RZ2218,hieracium umbellatum,x,100,cover,0.5
RZ2214,hieracium virosum,SE,1,p/a,1
RZ2214,hieracium virosum,SE,10,cover,0.01
RZ2214,hieracium virosum,x,100,cover,0.005
RZ2214,hypericum perforatum,NW,10,cover,0.01
RZ2214,hypericum perforatum,SE,1,p/a,1
RZ2214,hypericum perforatum,SE,10,cover,1
RZ2214,hypericum perforatum,x,100,cover,0.505
RZ2215,hypericum perforatum,NW,0.1,p/a,1
RZ2215,hypericum perforatum,NW,1,p/a,1
RZ2215,hypericum perforatum,NW,10,cover,2
RZ2215,hypericum perforatum,SE,0.01,p/a,1
RZ2215,hypericum perforatum,SE,0.1,p/a,1
RZ2215,hypericum perforatum,SE,1,p/a,1
RZ2215,hypericum perforatum,SE,10,cover,5
RZ2215,hypericum perforatum,x,100,cover,3.5
RZ2216,hypericum perforatum,NW,1,p/a,1
RZ2216,hypericum perforatum,NW,10,cover,0.1
RZ2216,hypericum perforatum,SE,10,cover,0.1
RZ2216,hypericum perforatum,x,100,cover,0.1
RZ2217,hypericum perforatum,NW,1,p/a,1
RZ2217,hypericum perforatum,NW,10,cover,0.2
RZ2217,hypericum perforatum,SE,1,p/a,1
RZ2217,hypericum perforatum,SE,10,cover,0.5
RZ2217,hypericum perforatum,x,100,cover,0.35
RZ2218,hypericum perforatum,NW,0.1,p/a,1
RZ2218,hypericum perforatum,NW,1,p/a,1
RZ2218,hypericum perforatum,NW,10,cover,1
RZ2218,hypericum perforatum,x,100,cover,0.5
RZ2219,hypericum perforatum,NW,10,cover,1
RZ2219,hypericum perforatum,x,100,cover,0.5
RZ2215,jacobaea vulgaris,x,100,cover,0.1
RZ2214,jurinea cyanoides,NW,0.001,p/a,1
RZ2214,jurinea cyanoides,NW,0.01,p/a,1
RZ2214,jurinea cyanoides,NW,0.1,p/a,1
RZ2214,jurinea cyanoides,NW,1,p/a,1
RZ2214,jurinea cyanoides,NW,10,cover,1
RZ2214,jurinea cyanoides,SE,10,cover,2
RZ2214,jurinea cyanoides,x,100,cover,1.5
RZ2215,jurinea cyanoides,NW,10,cover,0.7
RZ2215,jurinea cyanoides,x,100,cover,0.35
RZ2216,knautia arvensis,NW,1,p/a,1
RZ2216,knautia arvensis,NW,10,cover,1
RZ2216,knautia arvensis,x,100,cover,0.5
RZ2219,knautia arvensis,NW,10,cover,0.5
RZ2219,knautia arvensis,x,100,cover,0.25
RZ2214,koeleria macrantha,NW,10,cover,0.5
RZ2214,koeleria macrantha,SE,0.01,p/a,1
RZ2214,koeleria macrantha,SE,0.1,p/a,1
RZ2214,koeleria macrantha,SE,1,p/a,1
RZ2214,koeleria macrantha,SE,10,cover,10
RZ2214,koeleria macrantha,x,100,cover,5.25
RZ2215,koeleria macrantha,SE,10,cover,1
RZ2215,koeleria macrantha,x,100,cover,0.5
RZ2216,koeleria macrantha,NW,10,cover,1
RZ2216,koeleria macrantha,x,100,cover,0.5
RZ2217,koeleria macrantha,SE,1e-4,p/a,1
RZ2217,koeleria macrantha,SE,0.001,p/a,1
RZ2217,koeleria macrantha,SE,0.01,p/a,1
RZ2217,koeleria macrantha,SE,0.1,p/a,1
RZ2217,koeleria macrantha,SE,1,p/a,1
RZ2217,koeleria macrantha,SE,10,cover,1
RZ2217,koeleria macrantha,x,100,cover,0.5
RZ2218,koeleria macrantha,x,100,cover,0.1
RZ2219,koeleria macrantha,SE,10,cover,1
RZ2219,koeleria macrantha,x,100,cover,0.5
RZ2215,lactuca serriola,SE,10,cover,0.01
RZ2215,lactuca serriola,x,100,cover,0.005
RZ2216,lactuca serriola,SE,0.1,p/a,1
RZ2216,lactuca serriola,SE,1,p/a,1
RZ2216,lactuca serriola,SE,10,cover,0.01
RZ2216,lactuca serriola,x,100,cover,0.005
RZ2218,lactuca serriola,NW,10,cover,0.01
RZ2218,lactuca serriola,x,100,cover,0.005
RZ2215,lotus corniculatus,SE,1,p/a,1
RZ2215,lotus corniculatus,SE,10,cover,0.5
RZ2215,lotus corniculatus,x,100,cover,0.25
RZ2219,lotus corniculatus,NW,10,cover,1
RZ2219,lotus corniculatus,x,100,cover,0.5
RZ2218,luzula pallescens,NW,0.1,p/a,1
RZ2218,luzula pallescens,NW,1,p/a,1
RZ2218,luzula pallescens,NW,10,cover,1
RZ2218,luzula pallescens,x,100,cover,0.5
RZ2217,lavatera thuringiaca,NW,1,p/a,1
RZ2217,lavatera thuringiaca,NW,10,cover,1
RZ2217,lavatera thuringiaca,SE,10,cover,0.1
RZ2217,lavatera thuringiaca,x,100,cover,0.55
RZ2214,medicago falcata,NW,10,cover,0.1
RZ2214,medicago falcata,SE,0.1,p/a,1
RZ2214,medicago falcata,SE,1,p/a,1
RZ2214,medicago falcata,SE,10,cover,4
RZ2214,medicago falcata,x,100,cover,2.05
RZ2215,medicago falcata,NW,0.1,p/a,1
RZ2215,medicago falcata,NW,1,p/a,1
RZ2215,medicago falcata,NW,10,cover,3
RZ2215,medicago falcata,x,100,cover,1.5
RZ2216,medicago falcata,NW,0.1,p/a,1
RZ2216,medicago falcata,NW,1,p/a,1
RZ2216,medicago falcata,NW,10,cover,1
RZ2216,medicago falcata,x,100,cover,0.5
RZ2217,medicago falcata,SE,1e-4,p/a,1
RZ2217,medicago falcata,SE,0.001,p/a,1
RZ2217,medicago falcata,SE,0.01,p/a,1
RZ2217,medicago falcata,SE,0.1,p/a,1
RZ2217,medicago falcata,SE,1,p/a,1
RZ2217,medicago falcata,SE,10,cover,2
RZ2217,medicago falcata,x,100,cover,1
RZ2218,medicago falcata,NW,0.01,p/a,1
RZ2218,medicago falcata,NW,0.1,p/a,1
RZ2218,medicago falcata,NW,1,p/a,1
RZ2218,medicago falcata,NW,10,cover,0.5
RZ2218,medicago falcata,x,100,cover,0.25
RZ2219,medicago falcata,SE,0.1,p/a,1
RZ2219,medicago falcata,SE,1,p/a,1
RZ2219,medicago falcata,SE,10,cover,2
RZ2219,medicago falcata,x,100,cover,1
RZ2214,nonea pulla,SE,10,cover,0.2
RZ2214,nonea pulla,x,100,cover,0.1
RZ2215,nonea pulla,NW,10,cover,0.5
RZ2215,nonea pulla,SE,10,cover,0.5
RZ2215,nonea pulla,x,100,cover,0.5
RZ2215,odontites vulgaris,NW,10,cover,0.01
RZ2215,odontites vulgaris,x,100,cover,0.005
RZ2219,odontites vulgaris,SE,1,p/a,1
RZ2219,odontites vulgaris,SE,10,cover,0.01
RZ2219,odontites vulgaris,x,100,cover,0.005
RZ2214,origanum vulgare,NW,1,p/a,1
RZ2214,origanum vulgare,NW,10,cover,10
RZ2214,origanum vulgare,SE,0.001,p/a,1
RZ2214,origanum vulgare,SE,0.01,p/a,1
RZ2214,origanum vulgare,SE,0.1,p/a,1
RZ2214,origanum vulgare,SE,1,p/a,1
RZ2214,origanum vulgare,SE,10,cover,15
RZ2214,origanum vulgare,x,100,cover,12.5
RZ2215,origanum vulgare,NW,1,p/a,1
RZ2215,origanum vulgare,NW,10,cover,3
RZ2215,origanum vulgare,SE,1,p/a,1
RZ2215,origanum vulgare,SE,10,cover,3
RZ2215,origanum vulgare,x,100,cover,3
RZ2216,origanum vulgare,NW,1,p/a,1
RZ2216,origanum vulgare,NW,10,cover,1
RZ2216,origanum vulgare,SE,0.01,p/a,1
RZ2216,origanum vulgare,SE,0.1,p/a,1
RZ2216,origanum vulgare,SE,1,p/a,1
RZ2216,origanum vulgare,SE,10,cover,7
RZ2216,origanum vulgare,x,100,cover,4
RZ2217,origanum vulgare,NW,0.1,p/a,1
RZ2217,origanum vulgare,NW,1,p/a,1
RZ2217,origanum vulgare,NW,10,cover,3
RZ2217,origanum vulgare,SE,1,p/a,1
RZ2217,origanum vulgare,SE,10,cover,5
RZ2217,origanum vulgare,x,100,cover,4
RZ2218,origanum vulgare,NW,0.01,p/a,1
RZ2218,origanum vulgare,NW,0.1,p/a,1
RZ2218,origanum vulgare,NW,1,p/a,1
RZ2218,origanum vulgare,NW,10,cover,15
RZ2218,origanum vulgare,SE,0.1,p/a,1
RZ2218,origanum vulgare,SE,1,p/a,1
RZ2218,origanum vulgare,SE,10,cover,2
RZ2218,origanum vulgare,x,100,cover,8.5
RZ2219,origanum vulgare,NW,0.001,p/a,1
RZ2219,origanum vulgare,NW,0.01,p/a,1
RZ2219,origanum vulgare,NW,0.1,p/a,1
RZ2219,origanum vulgare,NW,1,p/a,1
RZ2219,origanum vulgare,NW,10,cover,5
RZ2219,origanum vulgare,SE,0.1,p/a,1
RZ2219,origanum vulgare,SE,1,p/a,1
RZ2219,origanum vulgare,SE,10,cover,0.5
RZ2219,origanum vulgare,x,100,cover,2.75
RZ2217,picris hieracioides,NW,1,p/a,1
RZ2217,picris hieracioides,NW,10,cover,0.05
RZ2217,picris hieracioides,x,100,cover,0.025
RZ2214,pilosella echioides,x,100,cover,0.1
RZ2215,pilosella echioides,x,100,cover,0.1
RZ2215,pimpinella saxifraga,NW,1,p/a,1
RZ2215,pimpinella saxifraga,NW,10,cover,0.5
RZ2215,pimpinella saxifraga,x,100,cover,0.25
RZ2216,pimpinella saxifraga,NW,0.1,p/a,1
RZ2216,pimpinella saxifraga,NW,1,p/a,1
RZ2216,pimpinella saxifraga,NW,10,cover,0.1
RZ2216,pimpinella saxifraga,x,100,cover,0.05
RZ2217,pimpinella saxifraga,NW,1,p/a,1
RZ2217,pimpinella saxifraga,NW,10,cover,0.5
RZ2217,pimpinella saxifraga,x,100,cover,0.25
RZ2218,pimpinella saxifraga,NW,0.01,p/a,1
RZ2218,pimpinella saxifraga,NW,0.1,p/a,1
RZ2218,pimpinella saxifraga,NW,1,p/a,1
RZ2218,pimpinella saxifraga,NW,10,cover,1
RZ2218,pimpinella saxifraga,SE,0.1,p/a,1
RZ2218,pimpinella saxifraga,SE,1,p/a,1
RZ2218,pimpinella saxifraga,SE,10,cover,1
RZ2218,pimpinella saxifraga,x,100,cover,1
RZ2219,pimpinella saxifraga,NW,1,p/a,1
RZ2219,pimpinella saxifraga,NW,10,cover,0.5
RZ2219,pimpinella saxifraga,SE,0.1,p/a,1
RZ2219,pimpinella saxifraga,SE,1,p/a,1
RZ2219,pimpinella saxifraga,SE,10,cover,0.5
RZ2219,pimpinella saxifraga,x,100,cover,0.5
RZ2215,plantago lanceolata,x,100,cover,0.1
RZ2218,plantago lanceolata,SE,10,cover,0.1
RZ2218,plantago lanceolata,x,100,cover,0.05
RZ2219,plantago lanceolata,NW,1,p/a,1
RZ2219,plantago lanceolata,NW,10,cover,1
RZ2219,plantago lanceolata,SE,10,cover,0.1
RZ2219,plantago lanceolata,x,100,cover,0.55
RZ2215,plantago media,NW,0.1,p/a,1
RZ2215,plantago media,NW,1,p/a,1
RZ2215,plantago media,NW,10,cover,1
RZ2215,plantago media,x,100,cover,0.5
RZ2218,plantago media,x,100,cover,0.1
RZ2219,plantago media,NW,1,p/a,1
RZ2219,plantago media,NW,10,cover,1
RZ2219,plantago media,x,100,cover,0.5
RZ2214,poa angustifolia,NW,1e-4,p/a,1
RZ2214,poa angustifolia,NW,0.001,p/a,1
RZ2214,poa angustifolia,NW,0.01,p/a,1
RZ2214,poa angustifolia,NW,0.1,p/a,1
RZ2214,poa angustifolia,NW,1,p/a,1
RZ2214,poa angustifolia,NW,10,cover,20
RZ2214,poa angustifolia,SE,0.001,p/a,1
RZ2214,poa angustifolia,SE,0.01,p/a,1
RZ2214,poa angustifolia,SE,0.1,p/a,1
RZ2214,poa angustifolia,SE,1,p/a,1
RZ2214,poa angustifolia,SE,10,cover,10
RZ2214,poa angustifolia,x,100,cover,15
RZ2215,poa angustifolia,NW,0.01,p/a,1
RZ2215,poa angustifolia,NW,0.1,p/a,1
RZ2215,poa angustifolia,NW,1,p/a,1
RZ2215,poa angustifolia,NW,10,cover,3
RZ2215,poa angustifolia,SE,0.001,p/a,1
RZ2215,poa angustifolia,SE,0.01,p/a,1
RZ2215,poa angustifolia,SE,0.1,p/a,1
RZ2215,poa angustifolia,SE,1,p/a,1
RZ2215,poa angustifolia,SE,10,cover,20
RZ2215,poa angustifolia,x,100,cover,11.5
RZ2216,poa angustifolia,NW,1,p/a,1
RZ2216,poa angustifolia,NW,10,cover,10
RZ2216,poa angustifolia,SE,1e-4,p/a,1
RZ2216,poa angustifolia,SE,0.001,p/a,1
RZ2216,poa angustifolia,SE,0.01,p/a,1
RZ2216,poa angustifolia,SE,0.1,p/a,1
RZ2216,poa angustifolia,SE,1,p/a,1
RZ2216,poa angustifolia,SE,10,cover,15
RZ2216,poa angustifolia,x,100,cover,12.5
RZ2217,poa angustifolia,NW,0.1,p/a,1
RZ2217,poa angustifolia,NW,1,p/a,1
RZ2217,poa angustifolia,NW,10,cover,7
RZ2217,poa angustifolia,SE,1e-4,p/a,1
RZ2217,poa angustifolia,SE,0.001,p/a,1
RZ2217,poa angustifolia,SE,0.01,p/a,1
RZ2217,poa angustifolia,SE,0.1,p/a,1
RZ2217,poa angustifolia,SE,1,p/a,1
RZ2217,poa angustifolia,SE,10,cover,25
RZ2217,poa angustifolia,x,100,cover,16
RZ2218,poa angustifolia,NW,0.001,p/a,1
RZ2218,poa angustifolia,NW,0.01,p/a,1
RZ2218,poa angustifolia,NW,0.1,p/a,1
RZ2218,poa angustifolia,NW,1,p/a,1
RZ2218,poa angustifolia,NW,10,cover,15
RZ2218,poa angustifolia,SE,1,p/a,1
RZ2218,poa angustifolia,SE,10,cover,10
RZ2218,poa angustifolia,x,100,cover,12.5
RZ2219,poa angustifolia,NW,0.01,p/a,1
RZ2219,poa angustifolia,NW,0.1,p/a,1
RZ2219,poa angustifolia,NW,1,p/a,1
RZ2219,poa angustifolia,NW,10,cover,7
RZ2219,poa angustifolia,SE,1e-4,p/a,1
RZ2219,poa angustifolia,SE,0.001,p/a,1
RZ2219,poa angustifolia,SE,0.01,p/a,1
RZ2219,poa angustifolia,SE,0.1,p/a,1
RZ2219,poa angustifolia,SE,1,p/a,1
RZ2219,poa angustifolia,SE,10,cover,10
RZ2219,poa angustifolia,x,100,cover,8.5
RZ2219,polygala podolica,NW,1,p/a,1
RZ2219,polygala podolica,NW,10,cover,0.05
RZ2219,polygala podolica,SE,1,p/a,1
RZ2219,polygala podolica,SE,10,cover,0.5
RZ2219,polygala podolica,x,100,cover,0.275
RZ2215,potentilla argentea,NW,10,cover,0.1
RZ2215,potentilla argentea,SE,1,p/a,1
RZ2215,potentilla argentea,SE,10,cover,0.5
RZ2215,potentilla argentea,x,100,cover,0.3
RZ2216,potentilla argentea,NW,10,cover,0.1
RZ2216,potentilla argentea,x,100,cover,0.05
RZ2217,potentilla argentea,NW,10,cover,0.5
RZ2217,potentilla argentea,x,100,cover,0.25
RZ2218,potentilla argentea,NW,10,cover,0.2
RZ2218,potentilla argentea,SE,0.1,p/a,1
RZ2218,potentilla argentea,SE,1,p/a,1
RZ2218,potentilla argentea,SE,10,cover,1
RZ2218,potentilla argentea,x,100,cover,0.6
RZ2219,potentilla argentea,NW,0.001,p/a,1
RZ2219,potentilla argentea,NW,0.01,p/a,1
RZ2219,potentilla argentea,NW,0.1,p/a,1
RZ2219,potentilla argentea,NW,1,p/a,1
RZ2219,potentilla argentea,NW,10,cover,1
RZ2219,potentilla argentea,SE,1,p/a,1
RZ2219,potentilla argentea,SE,10,cover,1
RZ2219,potentilla argentea,x,100,cover,1
RZ2215,potentilla recta,NW,10,cover,1
RZ2215,potentilla recta,x,100,cover,0.5
RZ2214,prunus armeniaca,x,100,cover,0.1
RZ2215,ranunculus polyanthemos,SE,10,cover,0.01
RZ2215,ranunculus polyanthemos,x,100,cover,0.005
RZ2218,ranunculus polyanthemos,NW,10,cover,0.5
RZ2218,ranunculus polyanthemos,SE,1,p/a,1
RZ2218,ranunculus polyanthemos,SE,10,cover,0.1
RZ2218,ranunculus polyanthemos,x,100,cover,0.3
RZ2219,ranunculus polyanthemos,NW,1,p/a,1
RZ2219,ranunculus polyanthemos,NW,10,cover,1
RZ2219,ranunculus polyanthemos,SE,10,cover,0.1
RZ2219,ranunculus polyanthemos,x,100,cover,0.55
RZ2218,rumex acetosella,x,100,cover,0.1
RZ2214,scabiosa ochroleuca,NW,10,cover,0.1
RZ2214,scabiosa ochroleuca,SE,1,p/a,1
RZ2214,scabiosa ochroleuca,SE,10,cover,1
RZ2214,scabiosa ochroleuca,x,100,cover,0.55
RZ2215,scabiosa ochroleuca,NW,10,cover,2
RZ2215,scabiosa ochroleuca,SE,10,cover,0.5
RZ2215,scabiosa ochroleuca,x,100,cover,1.25
RZ2217,scabiosa ochroleuca,SE,10,cover,0.5
RZ2217,scabiosa ochroleuca,x,100,cover,0.25
RZ2219,scabiosa ochroleuca,NW,10,cover,1
RZ2219,scabiosa ochroleuca,SE,0.1,p/a,1
RZ2219,scabiosa ochroleuca,SE,1,p/a,1
RZ2219,scabiosa ochroleuca,SE,10,cover,1
RZ2219,scabiosa ochroleuca,x,100,cover,1
RZ2218,festuca pratensis,NW,1e-4,p/a,1
RZ2218,festuca pratensis,NW,0.001,p/a,1
RZ2218,festuca pratensis,NW,0.01,p/a,1
RZ2218,festuca pratensis,NW,0.1,p/a,1
RZ2218,festuca pratensis,NW,1,p/a,1
RZ2218,festuca pratensis,NW,10,cover,5
RZ2218,festuca pratensis,SE,10,cover,3
RZ2218,festuca pratensis,x,100,cover,4
RZ2219,festuca pratensis,NW,1e-4,p/a,1
RZ2219,festuca pratensis,NW,0.001,p/a,1
RZ2219,festuca pratensis,NW,0.01,p/a,1
RZ2219,festuca pratensis,NW,0.1,p/a,1
RZ2219,festuca pratensis,NW,1,p/a,1
RZ2219,festuca pratensis,NW,10,cover,7
RZ2219,festuca pratensis,SE,1,p/a,1
RZ2219,festuca pratensis,SE,10,cover,2
RZ2219,festuca pratensis,x,100,cover,4.5
RZ2214,seseli tortuosum,NW,10,cover,0.01
RZ2214,seseli tortuosum,SE,0.1,p/a,1
RZ2214,seseli tortuosum,SE,1,p/a,1
RZ2214,seseli tortuosum,SE,10,cover,2
RZ2214,seseli tortuosum,x,100,cover,1.005
RZ2215,seseli tortuosum,NW,1,p/a,1
RZ2215,seseli tortuosum,NW,10,cover,2
RZ2215,seseli tortuosum,SE,1,p/a,1
RZ2215,seseli tortuosum,SE,10,cover,0.5
RZ2215,seseli tortuosum,x,100,cover,1.25
RZ2216,seseli tortuosum,NW,1,p/a,1
RZ2216,seseli tortuosum,NW,10,cover,0.3
RZ2216,seseli tortuosum,SE,1,p/a,1
RZ2216,seseli tortuosum,SE,10,cover,0.5
RZ2216,seseli tortuosum,x,100,cover,0.4
RZ2217,seseli tortuosum,NW,10,cover,2
RZ2217,seseli tortuosum,SE,10,cover,0.1
RZ2217,seseli tortuosum,x,100,cover,1.05
RZ2218,seseli tortuosum,NW,10,cover,0.5
RZ2218,seseli tortuosum,SE,1,p/a,1
RZ2218,seseli tortuosum,SE,10,cover,1
RZ2218,seseli tortuosum,x,100,cover,0.75
RZ2219,seseli tortuosum,NW,10,cover,0.5
RZ2219,seseli tortuosum,SE,0.1,p/a,1
RZ2219,seseli tortuosum,SE,1,p/a,1
RZ2219,seseli tortuosum,SE,10,cover,4
RZ2219,seseli tortuosum,x,100,cover,2.25
